,crypto_Ethereum_cumret_1d,crypto_Ethereum_skewness_5d,crypto_Ethereum_kurtosis_5d,crypto_Ethereum_cumret_5d,crypto_Ethereum_skewness_10d,crypto_Ethereum_kurtosis_10d,crypto_Ethereum_cumret_10d,crypto_Ethereum_skewness_20d,crypto_Ethereum_kurtosis_20d,crypto_Ethereum_cumret_20d,crypto_Ethereum_realized_vol_5d,crypto_Ethereum_exp_vol_5d,crypto_Ethereum_jump_5d,crypto_Ethereum_realized_vol_10d,crypto_Ethereum_exp_vol_10d,crypto_Ethereum_jump_10d,crypto_Ethereum_realized_vol_20d,crypto_Ethereum_exp_vol_20d,crypto_Ethereum_jump_20d,crypto_Ethereum_realized_vol_60d,crypto_Ethereum_exp_vol_60d,crypto_Ethereum_jump_60d,crypto_Solana_sign
2019-11-04,0.021315268288079618,1.7502582005746785,3.5196418964424816,0.008964009464668576,0.540235567645931,0.20846255747759862,0.026270981608230097,1.69462468628856,5.598810739811906,0.026916516347940646,0.18115895778730376,0.3180935924697746,0.0,0.32703179644804287,0.428401410079268,0.0,0.5428491407678235,0.5066174597959724,0.0,0.6161644216211876,0.5842326706090978,0.0,0
2019-11-05,0.015700581324965848,0.38068401189489354,-2.0406656985963436,0.028599126533305635,0.15088808247114358,0.011712486947515746,0.05131264816640273,1.626867998009533,5.736803183567601,0.07279436010934635,0.1951412287605463,0.2736436665259578,0.0,0.3255287346163531,0.3946219296298036,0.0,0.5318295930330662,0.485758664664872,0.0,0.6144819529565241,0.5762339564302015,0.0,0
2019-11-06,0.012022643173340262,-0.5057219634539857,-1.549131869101198,0.0406055959302841,0.2844848578537141,0.7592181538875583,0.039126428630458676,1.6226974738750324,5.720248025662507,0.07343491087551973,0.1916166909298652,0.22501576899357584,0.0,0.3109536363044414,0.3588937334529909,0.0,0.5319581187034887,0.46359048647991896,0.0,0.6074022081342231,0.5675987532023038,0.0,0
2019-11-07,-0.019060516479859825,-0.6597061622715723,-1.8582204393597028,0.021785224713331927,0.27392964209377185,0.20766371615338233,0.028675314409285522,1.647776821437667,5.897476403325466,0.07944049754178567,0.27275736860175354,0.3040609754453689,0.0,0.3267618948651186,0.36648729936673874,0.0,0.5280679604820124,0.45556689600049666,0.0,0.6078684883735419,0.561208961604516,0.0,0
2019-11-08,-0.0202328067205393,-0.484892074942923,-3.1220258798756237,0.009745169585986719,-0.08897900136946763,-0.903850318547227,-0.03274107574962446,1.6488364758080203,5.6672669160251985,0.06329567776138492,0.31739776965069516,0.30164234845225063,0.0,0.26466199859729805,0.36251876761247004,0.0,0.5344079228445224,0.4468616316822311,0.0,0.6093591621169591,0.5551111671630764,0.0,0
2019-11-09,0.004426640669876716,-0.3708233452224392,-3.0343903295230485,-0.007143458032216183,-0.07246405559069653,-0.7929636023031884,0.001820551432452206,1.715821671123419,5.923686814213254,0.052676130223055354,0.27185660266938866,0.2629464006987846,0.0,0.2194529750784371,0.33023396776447445,0.0,0.5326028809503485,0.4254816153455548,0.0,0.6091962846383356,0.5460879901543686,0.0,0
2019-11-10,0.023758080816783947,-0.045619495678395225,-2.3217714311402795,0.0009140414596019164,-0.2408033232788057,-1.095989089619087,0.029513167992907364,1.5523200237735564,5.291967191002248,0.07993473489430192,0.3075200062396654,0.30965155771496383,0.0,0.24718627811044042,0.33734156770925816,0.0,0.5372080356985613,0.41933158727076963,0.0,0.610898515078429,0.5412994628205944,0.0,0
2019-11-11,-0.021270093535684362,1.0993815235289313,-0.5067125019471798,-0.032378695249422704,-0.08740117525715034,-1.6634751495815077,0.008226900680861203,1.5402985296737444,5.158286124147015,0.0737569070004272,0.3174358029034078,0.34043375456271496,0.0,0.27571377895649984,0.3456392715341014,0.0,0.540556722434612,0.41538257991884636,0.0,0.6120761156981136,0.5360637667635119,0.0,0
2019-11-12,0.007271881865040706,0.08074405179433862,-1.8164066717326424,-0.006046296904522176,-0.24001146771403292,-1.683709812964454,0.015738927808809564,2.2487659399946325,7.101758369826186,0.14019132510440385,0.30652536315503165,0.2912052302809128,0.0,0.277476181188731,0.31683535148527353,0.0,0.48688123450960186,0.3963634474136442,0.0,0.6122378335129331,0.5275992737263666,0.0,0
2019-11-13,0.0075464012538268505,-0.9222272728961708,2.354543855443717,0.021732911069843975,-0.5643567721366847,-1.3064505278845253,0.031478080655830507,2.215308569260565,7.028919147226694,0.14918109295547177,0.25741959516915974,0.245264351009545,0.0,0.27318007053985005,0.28991685879010826,0.0,0.4858558273757423,0.37819561178205635,0.0,0.6074638564426594,0.519285479477851,0.0,0
2019-11-14,-0.01207260584526745,-0.08443285571842034,-1.1844810898363936,0.005233664554699809,-0.16223401509303895,-1.6192504561030934,-0.0019097934775165644,0.3330919340458742,-0.2843622692451846,0.024361188130713474,0.2825217883287951,0.23555479720964453,0.0,0.2622040683010828,0.2775074623252114,0.0,0.28940167774573544,0.36588565280064117,0.0,0.6076732849292162,0.5119714858403832,0.0,0
2019-11-15,-0.02989659766192224,0.014359307719499337,-2.4559973502085355,-0.04842101392400638,0.11705876985563642,-1.420074737006041,-0.04750697246440465,0.22136031246539423,-0.4940148394021753,0.0038056757019980132,0.26715442732483524,0.3012098340782487,0.0,0.2838418281931245,0.314397709311214,0.0,0.30795242831088016,0.377276893689573,0.0,0.6053423198618193,0.5107442389576864,0.0,0
