,count,mean,std,min,25%,50%,75%,max
stocks_SP500_return,1853.0,0.00034178126413694445,0.009023112781479672,-0.061609061898230934,-0.0018715258393823342,0.0,0.0036023233905179666,0.09089487983303646
stocks_SP500_return_mean_1d,1853.0,0.00034178126413694445,0.009023112781479672,-0.061609061898230934,-0.0018715258393823342,0.0,0.0036023233905179666,0.09089487983303646
stocks_SP500_volatility_1d,0.0,,,,,,,
stocks_SP500_skewness_1d,0.0,,,,,,,
stocks_SP500_kurtosis_1d,0.0,,,,,,,
stocks_SP500_cumret_1d,1853.0,0.00034178126413694445,0.009023112781479672,-0.061609061898230934,-0.0018715258393823342,0.0,0.0036023233905179666,0.09089487983303646
stocks_SP500_return_mean_5d,1853.0,0.0003414791377512431,0.0039722482747905725,-0.022709833666638233,-0.0016945777682720157,0.0006793271778853855,0.0026166583281966825,0.01524905014386973
stocks_SP500_volatility_5d,1852.0,0.0075385467220015125,0.005116981129012748,0.0002591167371865013,0.0039837133722385055,0.006433248912324309,0.009627011311145059,0.04867436978363232
stocks_SP500_skewness_5d,1851.0,0.13932351353644684,1.161280665963066,-2.236029515725613,-0.7233490411012811,0.21506088324316716,1.0057347204874025,2.2360593805511533
stocks_SP500_kurtosis_5d,1850.0,0.9564576979117401,2.268009922778265,-3.331720006766179,-0.8390889317231638,1.211007071449329,2.648687421509936,4.999969209800308
stocks_SP500_cumret_5d,1853.0,0.0017052650203510356,0.019728949647694567,-0.11354916833319116,-0.008472888841360078,0.003396635889426928,0.013083291640983413,0.07360465364470282
stocks_SP500_return_mean_10d,1853.0,0.00033476099034095846,0.002725630642650838,-0.012967866987646936,-0.0010371009020948476,0.0005964275496923041,0.0019141366745253775,0.01524905014386973
stocks_SP500_volatility_10d,1852.0,0.007940737676863553,0.004556080963046385,0.0014279026818421977,0.0049588047783633215,0.0068695676009904,0.009913750244748751,0.04234830775294198
stocks_SP500_skewness_10d,1851.0,0.16121506149897327,1.0213285223342021,-2.9277192083474812,-0.5147075354794854,0.163879231484726,0.8297634273610632,2.731819943384895
stocks_SP500_kurtosis_10d,1850.0,1.3437204273672925,1.9767680543160677,-2.1469776724726377,-0.09127017315040524,0.9435506257579921,2.337421406729482,8.89737749271312
stocks_SP500_cumret_10d,1853.0,0.003424321119264443,0.02670129002984238,-0.12967866987646937,-0.010371009020948476,0.0059642754969230416,0.0191409195599853,0.0885326513095566
stocks_SP500_return_mean_20d,1853.0,0.00031885134072639815,0.0019248419291449592,-0.010254271999157787,-0.0007113762576254512,0.0006526684866545567,0.0014707123082663906,0.01524905014386973
stocks_SP500_volatility_20d,1852.0,0.008197941878952559,0.004134669081754217,0.0024961714864228457,0.005321083567007944,0.007125681851483136,0.009894144979729147,0.03606714406023958
