,stocks_SP500_cumret_1d,stocks_SP500_skewness_5d,stocks_SP500_cumret_5d,stocks_SP500_skewness_10d,stocks_SP500_cumret_10d,stocks_SP500_skewness_20d,stocks_SP500_cumret_20d,stocks_NASDAQ_skewness_5d,stocks_NASDAQ_cumret_5d,stocks_NASDAQ_skewness_10d,stocks_NASDAQ_cumret_10d,stocks_NASDAQ_skewness_20d,stocks_NASDAQ_kurtosis_20d,stocks_NASDAQ_cumret_20d,crypto_Ethereum_cumret_5d,crypto_Ethereum_kurtosis_10d,crypto_Ethereum_cumret_10d,crypto_Ethereum_skewness_20d,crypto_Ethereum_kurtosis_20d,crypto_Ethereum_cumret_20d,stocks_SP500_realized_vol_5d,stocks_SP500_exp_vol_5d,stocks_SP500_realized_vol_10d,stocks_SP500_exp_vol_10d,stocks_SP500_realized_vol_20d,stocks_SP500_exp_vol_20d,stocks_SP500_realized_vol_60d,stocks_SP500_exp_vol_60d,stocks_NASDAQ_realized_vol_5d,stocks_NASDAQ_exp_vol_5d,stocks_NASDAQ_realized_vol_10d,stocks_NASDAQ_exp_vol_10d,stocks_NASDAQ_realized_vol_20d,stocks_NASDAQ_exp_vol_20d,stocks_NASDAQ_realized_vol_60d,stocks_NASDAQ_exp_vol_60d,crypto_Ethereum_realized_vol_5d,crypto_Ethereum_exp_vol_5d,crypto_Ethereum_realized_vol_10d,crypto_Ethereum_exp_vol_10d,crypto_Ethereum_realized_vol_20d,crypto_Ethereum_exp_vol_20d,crypto_Ethereum_realized_vol_60d,crypto_Ethereum_exp_vol_60d,economic_PCE_Price_Index_realized_vol_60d,trend_strength,economic_Unemployment_Rate_sign_yoy_change,economic_Nonfarm_Payrolls_sign_yoy_change,economic_CPI_All_Items_sign_yoy_change,economic_CPI_Core_sign_yoy_change,economic_Real_GDP_sign_yoy_change,economic_Potential_GDP_sign_yoy_change
2015-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-29,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,1533.641097035886,,,,,,,,,,,,,,,,,,,,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,
2015-10-01,160.04775752564248,,,,,,,,,,,,,,,,,,,,,80.36884968695217,,79.91894449937573,,79.89018568596654,,79.94498110242748,,70.09449599810239,,71.52037160368636,,72.39878939232808,,73.04101750016997,,,,,,,,,,,,,,,,
2015-10-02,1153.6290267036222,,,,,,,,,,,,,,,,,,,,,67.10727761619998,,68.75179849950247,,69.74089153272392,,70.45828321903606,,59.759549948051905,,62.74175653496149,,64.39581612690061,,65.54906558639291,,,,,,,,,,,,,,,,
2015-10-03,0.0,100.0,100.0,,,,,100.0,100.0,,,,,,,,,,,,100.0,68.70657255018243,,68.64806074169228,,68.91938410223091,,69.22868679106054,100.0,55.25471057542084,,57.33641854997524,,58.81733047910501,,59.96181563194273,,,,,,,,,,,,,,,,
2015-10-04,0.0,98.11187442873657,96.607084677372,,,,,154.5483922019766,116.60940320130922,,,,,,,,,,,,102.63766103645821,60.5212580159677,,63.79095900673916,,65.1736022328055,,66.04644193811679,88.8249996228472,47.22117101103702,,51.39692510706237,,53.64861038601839,,55.239359621603754,,,,,,,,,,,,,,,,
2015-10-05,1471.0399367723492,92.46162634716278,94.48308031864757,,,,,130.19397570618426,96.77936705098642,,,,,,,,,,,,99.70455394888016,78.2745373422073,,73.52449705960217,,71.86590974919017,,71.10407320730224,71.92843818403371,48.26245303155332,,50.21828772182001,,51.99441864774338,,53.458934431130785,,,,,,,,,,,,,,,,
2015-10-06,-291.7544925974042,79.88730391448327,79.15381254624467,,,,,61.644511909863766,73.05672802078979,,,,,,,,,,,,112.14033423580744,82.94974182058682,,77.14999291188907,,74.81521080538157,,73.56840525224867,87.46292763581435,56.17524209031024,,54.90466425981547,,55.14399077455872,,55.70027277494821,,,,,,,,,,,,,,,,
2015-10-07,649.5868353236112,157.327913937062,62.052087802402355,,,,,87.98543381879404,49.56625642439145,,,,,,,,,,,,100.52591988620883,68.59056316596292,,68.37898476353026,,68.34135816903057,,68.40545149528086,71.96162472868879,48.09234919301839,,49.30419801780283,,50.739154164677444,,52.04138416262049,,,,,,,,,,,,,,,,
2015-10-08,712.5901728798492,45.16318762788704,86.22966896558405,100.0,100.0,,,-1.3368829535507811,61.11740993660294,100.0,100.0,,,,,,,,,,97.59439252996617,57.08454537714817,100.0,61.22526755153152,,63.073896855088265,,64.2402267336835,70.13752765417526,39.086310239887865,100.0,43.70524016109756,,46.58517049342493,,48.72480749656074,,,,,,,,,,,,,,,,
2015-10-09,58.83062588639832,42.916207296881836,88.2257422856816,100.87645172895017,99.24993583982122,,,-94.96139910825787,72.64490642368183,100.24713357052319,117.46359980554521,,,,,,,,,,96.10812063863025,53.068014703347835,100.49412782624951,58.11331567348527,,60.717838707863535,,62.385116888387785,67.4331654549922,31.81767554952027,91.81406946142083,38.90912366184113,,43.00432875904986,,45.88735769296066,,,,,,,,,,,,,,,,
