,crypto_Ethereum_cumret_5d,crypto_Ethereum_kurtosis_10d,crypto_Ethereum_cumret_10d,crypto_Ethereum_skewness_20d,crypto_Ethereum_kurtosis_20d,crypto_Ethereum_cumret_20d,crypto_Ethereum_realized_vol_5d,crypto_Ethereum_exp_vol_5d,crypto_Ethereum_realized_vol_10d,crypto_Ethereum_exp_vol_10d,crypto_Ethereum_realized_vol_20d,crypto_Ethereum_exp_vol_20d,crypto_Ethereum_realized_vol_60d,crypto_Ethereum_exp_vol_60d
2022-09-06,-30.507803257390933,432.87358051890044,46.41578320025385,-647.8677184952238,174.17289128819002,-55.81452040214315,41.986915464700786,36.48403502941231,89.97424491320912,41.65352009095577,91.66963177063026,48.345534914421734,79.28263397283287,56.393925258539376
2022-09-07,64.58805624419692,251.5005354977415,131.3758906860782,-631.8096519854782,154.64347531641246,-43.58033261257027,55.59304813842206,41.777482247293094,84.39116263594553,43.3532201527986,93.93152717722357,48.700678239661116,79.63414191848076,56.21682940510189
2022-09-08,96.66307459018941,-162.45719074817177,52.00321156146151,-534.7102586509272,250.40768759347822,4.798230586544543,52.374939773088336,34.46454314052104,58.60558471995111,39.2364568136324,74.6303297915752,46.3266718863289,79.09662695505631,55.290307815970294
2022-09-09,168.77282882440687,-28.234163800854578,121.40104526240381,-588.0441801912489,240.9796789177324,30.065243198369778,61.86827898204127,38.07674138947523,63.975568415771576,41.36281288177901,76.61611632574964,47.23702167367604,78.34364852971078,55.360332339285854
2022-09-10,184.36255880030302,-116.97056361633051,134.78293802710309,-587.2032090065418,235.24216366427098,32.22848511680013,62.98475338747954,31.739586653266382,65.87145305863949,38.50951147319933,76.99191418059448,45.878944643422834,77.45133576394917,54.82025439912543
2022-09-11,236.9190040779745,-265.52865952740825,105.74229027345763,-563.0063333128611,226.28367874203508,28.705508316875815,45.724148344954855,33.41009024067914,67.5741417575493,36.87186258088637,77.17302891472686,44.06261962932851,76.51889208046995,53.969481458272874
2022-09-12,98.61689409669377,-403.75219393620654,83.60818194169784,-460.7489758347504,193.73101932205535,10.528072208875107,56.452267527631186,37.79831492508533,73.23034001817746,38.49915716108717,77.71911767821035,43.71599004567868,75.85366387693219,53.47265126816375
2022-09-13,-66.69818136980935,119.6442123602353,15.350700079869606,-384.4829843531635,90.33394636217653,-16.422574669940477,93.44230527817803,59.1193068183691,101.21590204781394,53.92761032441852,85.05222462781646,51.328397837666984,77.57214658247787,55.428779645076474
2022-09-14,-98.87085908859913,64.4993188004131,35.81004492539667,-385.2292280512246,84.24567390880361,-12.912289575552471,85.96138615888178,61.04407979843249,104.08812340315599,53.133912764601185,85.72137891021939,50.61164689720391,75.72594123100434,54.99196429653167
2022-09-15,-369.6679485984789,-172.97895732858683,-94.93000495795332,-292.98073355612206,50.539358833116154,-8.443390250772456,100.8567406133444,78.90045436805188,132.49779999659313,68.75153626342691,82.6197709614188,60.79049316860107,78.7066194120974,58.50787465134608
2022-09-16,-406.7925801340591,-121.2530218832879,-87.02444885598314,-261.0672187305256,39.26570230230484,-14.054808570596705,97.44565145071232,64.87798714255571,131.5916295061212,62.253177086913844,83.24399384694468,58.12314685641085,71.57811474513332,57.76442492766892
2022-09-17,-301.93501046017144,-72.75572834332506,-104.15773559230091,-373.94054090258135,68.1005173340422,9.420303605417375,112.04576912666431,65.10874746354379,127.60220028921354,60.79760165056404,82.09077999039607,56.88021849294395,71.64992071805065,57.15148818491118
2022-09-18,-331.6938113289578,-453.55771340561955,-204.09203360621873,-497.98886831026084,17.498924793651685,-52.63850079902925,118.07758202052699,73.15923119544128,143.3811673391866,67.69885580525573,83.59381209202894,62.37735707339972,74.07454199073771,59.55486052073691
2022-09-19,-336.50372468635317,-458.20627062273206,-223.03782659175423,-549.7711595449048,22.11741286655077,-35.176863909442034,116.94884035691646,75.00228098071145,137.6329747136609,67.55615388351151,84.95554781195175,61.7139451102086,73.96823334330459,59.091423249385954
2022-09-20,-207.30298528961387,-418.3550166723789,-295.5761495887725,-448.4846616810638,-3.166332614254431,-55.65112203168111,94.296448061098,62.712292799703484,129.2168696606364,61.98642517346802,85.39755597342624,59.48785834565968,74.1983741270193,58.5756088609991
2022-09-21,-263.7050184979018,-430.7998081572224,-343.48887764005116,-328.0500155767479,-33.062987544341915,-82.28496848624467,98.53115915013358,54.6764380134543,129.26828217325829,58.405335707027604,86.65070112009148,58.419977629571775,74.92067728148977,58.566730034592226
2022-09-22,-199.81450959537403,-518.0815222210111,-257.0410093219661,-302.09120791354053,-42.063165130057,-60.025739563868605,114.8452077116938,73.14916989528126,148.64207273624083,66.98236853534057,91.49395612863628,61.899356364256555,75.60496031318337,59.249384110344025
2022-09-23,-10.43427438908753,-366.68742287340183,-175.2686249916556,-324.79897467357625,-39.72722324347926,-55.34818210223836,85.77626106984654,59.790097821266805,141.3599089321536,60.886789717379486,91.54830682261671,59.02617998030855,72.9360258559148,58.282612614815434
2022-09-24,-86.86171237906393,-265.4521777839214,-216.88566686278676,-295.50632390832004,-40.12044997597725,-62.67093887564631,79.37754972083621,48.92602836499228,134.6173102824935,55.083358402789074,91.07059434792937,56.15189879409006,72.94676085885244,57.321935994518924
2022-09-25,-45.29802504984899,6.851257552815011,-129.40484456510526,-241.36982685353203,-38.91222921077154,-77.6431166808205,74.42261724623339,40.87306416166244,112.92521954231785,49.99974307542885,89.89788798565287,53.490584760933835,68.23374636456207,56.44150858107746
2022-09-26,125.69012487714149,-42.89257048259702,-70.7035804514908,-326.21104997637275,-33.432598192895654,-54.59025117761428,56.73559462055751,41.66654285253601,117.17208067337499,49.56169762434675,90.9379151440347,53.02003110742568,67.63219354690168,56.054314689147944
2022-09-27,3.6202264812538734,34.16176758089641,-100.50827063924316,-310.0647576690013,-24.64859213496539,-70.83565766182906,33.626234872061225,34.415314081677764,113.7128750131865,44.83095566820579,88.20064184635325,50.442393364653235,67.62340690845858,55.127842123641145
2022-09-28,13.49633975616234,-58.85191443850884,1.568663927123241,-312.85037428982105,-24.791755453591826,-70.09408326890684,33.87894523456048,28.19757287757461,85.13520771791777,40.775734517306425,88.26541372301797,48.16734345911457,67.59068207774325,54.25666028162378
2022-09-29,26.161688753484704,218.2063335553564,-31.095984579833814,-332.04097410465454,-11.766263827102359,-87.95664692885386,32.84449301339964,23.174577223284707,80.68196100205815,36.883898623967845,84.34567482798539,45.83868851866038,67.58618147875059,53.362983699694475
2022-09-30,50.61973039128508,584.525801790635,2.7262537533173608,-319.0554719397768,-0.8970330075320625,-101.35642625592705,27.489392187707086,19.455048929046683,74.30902644346456,33.41812972412541,82.03154425496096,43.60219335898158,67.41089461500464,52.48223843242563
2022-10-01,-35.164345152234496,860.5920811421445,46.37540617392494,-311.3730921827075,-1.4059084452007193,-102.8320654661233,11.754485372478724,17.40839659117875,57.640059681444576,30.597400126985104,81.98960223520734,41.555405230339346,67.43277716061938,51.644805282898346
