,crypto_Ethereum_cumret_5d,crypto_Ethereum_kurtosis_10d,crypto_Ethereum_cumret_10d,crypto_Ethereum_skewness_20d,crypto_Ethereum_kurtosis_20d,crypto_Ethereum_cumret_20d,crypto_Ethereum_realized_vol_5d,crypto_Ethereum_exp_vol_5d,crypto_Ethereum_realized_vol_10d,crypto_Ethereum_exp_vol_10d,crypto_Ethereum_realized_vol_20d,crypto_Ethereum_exp_vol_20d,crypto_Ethereum_realized_vol_60d,crypto_Ethereum_exp_vol_60d
2018-03-02,27.82301664634498,-142.91909088630283,-44.278577857325025,205.60792657180244,-43.257304012817144,-1.4457955389250936,43.28892646760909,30.329760073186605,88.99929795075396,39.58829421192368,80.00629031525185,56.380920055367326,115.0865808875641,77.89237775819092
2018-03-03,-27.529130318890903,26.312403453869464,8.55746328305045,192.90949041984766,-29.351677874223654,17.74992686297736,34.73771860936922,24.86999631611519,78.53466169535,35.83414746717975,76.31716647217618,53.640009541556445,111.86082702702606,76.57419815740415
2018-03-04,-26.105515157162074,197.37461145178668,64.57459851856385,227.7180663766797,7.693486087780375,-0.8149689745920227,34.96412789020248,21.850041952885576,67.70138527257575,32.990242678889246,71.46014449766386,51.23998236049202,110.54446160771865,75.31699639746077
2018-03-05,-3.4851533092373677,-414.6163119873276,-12.315748878850616,216.06156925284853,13.70454918997925,3.457038381232723,29.300166933038625,20.859316140861033,49.08222155073368,30.759146195432272,70.77641752379694,48.9922704552031,110.49684715544139,74.11639207303784
2018-03-06,-128.63105813261168,-145.75462613134155,-28.634153103832798,23.368711226586083,-52.31163594718281,-42.74854339993544,37.72520228231246,30.359633296009303,56.31880051568433,34.225512611063074,61.44737833001604,48.87827087974466,110.73483171227988,73.45972136611853
2018-03-07,-254.4046944074164,284.6464802787073,-116.07541376247413,-29.306694251074145,-39.24695011968709,-76.26185175969698,67.72905539856961,47.22374206444235,83.25617351626424,46.27117068146776,68.34000046469998,53.63158344691801,111.41393187696099,74.21248552254782
2018-03-08,-385.415133604203,-192.40993750014587,-211.54700931404543,45.762623839058996,-53.915200388721296,-102.01987836159883,68.00264505459785,42.20410658501026,85.24641429865515,46.694376243268515,71.56281268521309,54.3272911520043,109.90796061504291,74.14353909971862
2018-03-09,-340.27052827703955,-210.27164262201518,-187.69059905685654,48.77761870846311,-54.836294196219406,-101.06034091001486,82.78052374717161,61.330971887723116,92.9933572525871,52.405211755160785,71.89772076365398,54.92956890882886,110.22664983050522,73.40403906279836
2018-03-10,-427.30524583047236,-416.3525840424708,-220.689396950146,44.23866876955535,-57.414049592185144,-103.31929181822726,81.9881826525217,55.57846841016936,98.40337207219507,51.183609166768726,72.58685320393667,54.718192707777305,107.42015179892006,73.08950297205365
2018-03-11,-239.22103755399738,-326.35963155342,-188.44676512300202,83.76431767218449,-62.14423664482502,-92.74269978364963,112.37476224571796,69.69119245022799,110.35009477059619,59.51768458203692,76.40309837626451,57.61229622235787,108.020475490747,72.9421375879665
2018-03-12,-143.49569656109918,-333.09310409500074,-203.8401912030323,71.81697746352408,-53.93438429139855,-85.87481872661405,98.03255872892765,59.488504433810505,110.91859758946123,54.753179324107606,74.95285566703434,55.340250296147985,107.07423278747706,71.9637532634107
2018-03-13,-38.7922351779833,-270.4139335952992,-217.3169796386005,24.190748698421277,-39.59045511770834,-72.25243657454837,83.4986672282029,48.58061507994083,109.6822681140107,49.54746835389712,72.88209162599554,52.63927637914884,104.90216077919101,70.76968481027282
2018-03-14,-336.3014435153369,-75.38581247001619,-346.6007152118709,-232.98322674344334,7.324620959844666,-97.61027647737987,112.1474268699195,75.51079773862418,128.585044718905,66.28709441870821,84.65850957119468,62.21396288398,104.94928797449903,73.51040516897721
2018-03-15,-229.15429034938634,-129.61419704185474,-336.2973256855744,-338.007297233382,28.546482243708166,-120.65626755009853,110.80398188523013,67.32125129598545,129.90165528573627,61.55744490593092,78.06029913812243,59.53496610737359,104.95171974785855,72.28390277837953
2018-03-16,-362.0233427909588,-150.57391063944013,-308.01118126813316,-363.70505373079334,33.65939989150525,-116.51418864374774,83.53003009325963,56.09371912901434,130.2103009332723,56.016885828917125,77.92425715991486,56.663895872921834,104.59227437919292,71.0828424882085
2018-03-17,-463.65718533307535,-165.52826462381307,-311.03804455566234,-249.21029593228994,-13.797355515571338,-147.82553914671743,91.67374913789087,57.81855653309375,131.05033717902955,57.87157231544609,82.25729919516495,58.455237249089635,98.29977101020282,71.68444680818214
2018-03-18,-489.12019518898103,-17.95627729582806,-270.44399348925054,-217.32572304842935,1.2083801966414696,-166.81885917112228,88.25648863000399,48.96677034620851,127.32114456092441,52.61464443793804,79.26930313759519,55.60346205257511,98.19201770505632,70.54097374947825
2018-03-19,-193.41060231179043,-14.376464214708292,-271.3659175883917,-191.09952341725636,-10.0024204934279,-158.88114914269923,77.14098505403052,60.38155116998739,127.01890035652438,57.66125041709633,81.62786170674202,57.00463465694035,98.3709141418808,70.04361451705203
2018-03-20,-182.24475200493768,162.76836631995292,-210.75540853360283,-235.84569483596795,-11.611080727601593,-149.3246343344681,78.16174178809494,50.33890558766192,125.24369334140933,53.347635782184014,82.19835401798223,54.782238249941884,98.36137937068986,68.9188260079368
2018-03-21,-134.9957651571945,327.4418532998894,-254.6176688821816,-237.3763073613793,-6.083840922288732,-153.34623051087857,81.18553978869878,42.635876950997094,111.68545613395912,49.89458540363852,81.26705193184229,52.99844611211129,95.5811588806902,67.88648464898554
2018-03-22,-47.05963801103691,266.45018418682076,-261.6348646144118,-193.09126178945573,-13.131627290923534,-161.10262916208427,52.038546399574024,41.362437719502715,112.1568974303275,46.878862197830465,81.58708628476131,51.09532815708604,94.24000156830643,67.04879975650347
2018-03-23,3.554930456343301,248.6943402791517,-248.74998530092824,-192.5058310871407,-12.91384313809286,-161.30749108669457,47.46472729744139,35.1794445593618,113.63772312277437,43.28902087764957,81.55604176278511,49.04752846274501,94.00935367341268,65.96963325787236
2018-03-24,-109.95359425629923,600.6138579848525,-155.41029171164269,-146.7120087066169,-3.656452008874341,-173.7478562447437,36.75468742098949,30.009408184122744,79.61615626701847,39.43049139877689,80.1538562595699,46.73422610678906,94.04378925149713,64.93280973008959
2018-03-25,-119.590013873538,598.0419330613214,-154.62678043274235,-163.45027627438014,-6.545707241266925,-169.9106390906693,35.64449189363061,25.48716045585791,79.69025192463069,36.18123380825228,80.53572426042207,44.7152752901085,92.59480965331221,63.86610553784578
2018-03-26,-268.74179683067456,-66.35212798187716,-206.83051260928588,-133.75122960624498,-23.091154846486468,-178.18860419975445,50.15262850044431,40.573483534744256,89.8390668225182,41.48785920646918,82.20514187498266,46.26351673174549,93.24429048448984,63.941496210252645
2018-03-27,-356.78762671011896,-65.68287985356443,-206.88671216735682,-136.62473465366924,-24.46202359778758,-179.25566359228372,68.94766629641042,47.33850999823305,89.86680630724739,47.448264965356415,82.60160424388901,49.433925659876195,94.30583358041395,64.69914963171885
2018-03-28,-373.31320130104314,-25.620510133048384,-189.4232786362105,-233.03486781274194,-1.8053947892792621,-159.16175459692806,65.59982708450498,45.91683579389672,90.19441002690102,44.77354532081937,80.88911655820358,47.49161585956337,93.46755102033543,63.63529077092909
2018-03-29,-610.0985822358584,441.74577688102505,-368.87516741328045,-358.5074809528098,24.530434578786355,-221.58979477475452,105.73259220039661,77.91037812225352,123.14353817724259,68.29834757601112,91.76772341797651,61.9792800005307,93.02687939564565,68.40349345993208
2018-03-30,-558.346209503291,339.37678948969585,-347.29960697004924,-434.7845100265939,30.276389582551527,-193.1448937834937,118.8576478203582,86.36025997709794,128.71327447409976,71.09317517451753,93.58968549604133,62.58235538416657,93.15044793201648,67.84319488911035
2018-03-31,-416.2009967498652,355.31010833783864,-350.8889992964189,-570.2312923366654,44.91827836861689,-209.56808533474708,127.49364087621089,75.86135320835324,127.92075772340712,67.44369224972466,88.1126343906413,60.87521365717238,91.8085569464211,66.88503441915745
2018-04-01,-334.8843927529957,332.95242047010856,-354.3363110399779,-548.7378273241487,38.741595572205775,-213.18988986791442,120.42976142817217,62.936697072134486,128.04541747401439,61.33552057982964,88.2851958816906,58.16525155415147,91.15350658262736,66.00267623523614
2018-04-02,-283.0655100388004,256.4015472107571,-336.2559199689262,-537.7329895208267,29.83950377193667,-202.47269587584805,126.7151685899961,59.79742083884179,132.18222659697346,60.4971046054551,90.34066140067809,57.80294149911217,90.66624517104096,65.35121054397577
2018-04-03,151.5023245136596,110.71140795786,-234.9340462610525,-383.33893982452946,93.02986389019867,-135.09961133255143,77.1785442669097,74.63474821113037,158.17774335820093,72.49795179315348,91.69751943836168,65.58367428193137,89.83068712625291,67.22276169948496
2018-04-04,-71.52469942724741,-156.56469023916978,-322.676251202246,-270.86121179243213,35.08526431041232,-165.1963351041257,114.48928257561721,89.91859921250135,165.6524382112344,77.40522864305636,96.2094141875883,67.95084162101867,90.19236728125439,68.10956974838068
2018-04-05,-66.6884921338577,-72.21168733580885,-247.3792134368151,-295.68083755309937,30.534101760221084,-157.20365708643976,114.71456959370805,75.3447559944443,165.01059510768843,71.28905577272778,97.03129658473824,65.47959404465347,86.43672018414149,67.16109605640781
2018-04-06,-48.87278603210852,255.55606416801905,-196.59477214557847,-361.1574187506529,75.00660525161551,-139.64642600854512,112.56264418344738,63.18645252580614,156.83040119210168,65.08856762543644,93.28063757493011,62.50025146020093,79.76385364540889,66.16109457126927
2018-04-07,-5.65946955979759,149.52416660409438,-147.91077461174632,-387.914329141022,57.650879827872444,-116.75255678031917,117.49243204214208,63.15220663082316,163.69329996090582,65.30863494035792,96.52732824349995,63.25227521755499,75.39895734843893,66.14108000725108
2018-04-08,-78.81420227358576,135.60952874870424,37.2373615907765,-380.3344680014641,54.36430795653244,-114.78106459157745,100.29533138826505,56.70415751673292,120.76125312084322,63.24760453145998,97.09484120016477,63.13895014993673,75.73626229828736,66.01133175961482
2018-04-09,90.76077134765545,118.72450080621684,9.85443761114938,-373.48862143702854,54.88030721314232,-116.7910144750795,56.5055557165522,47.672612599612044,119.77121007104736,57.260355756175144,96.93487012948006,60.08547956522096,73.62790177072796,64.93361552923535
2018-04-10,152.95114903092923,41.696160983907255,44.191453124186296,-366.33831456120726,40.984291526105984,-106.1491489788543,61.10490505190667,43.54398046965103,123.46494746521081,55.14398127599445,99.20653632213642,59.67089329929676,72.10226079071609,64.76911784140941
2018-04-11,296.35470611281653,541.0344518902796,126.78238839060761,-438.7817202164065,43.82614782387235,-78.75724973184533,35.49894686878945,37.840126509425815,118.31770627222191,52.21515098001457,101.03124165325885,58.832894595007524,72.75793188135653,64.54731424016143
2018-04-12,484.1988221574346,338.6467285991052,245.1506843063039,-81.27159943292345,53.11037918852048,-31.531857211777336,93.45634291933749,75.33490980651096,153.2895458022851,75.55442650489225,118.30590530538399,73.94690549119986,77.88991150840508,70.48970431700994
2018-04-13,407.3555397419669,589.6399651243227,168.30827656299968,-113.92783559786,57.55212501291722,-23.059423988797906,102.0279797704464,72.5561086779009,147.2130130923517,70.36844933491452,117.9760735797295,70.47691454860079,76.50733065091454,69.32265381158552
2018-04-14,451.6793171214974,1136.9683481616098,277.88636015311374,-141.23879697524194,55.80528936075948,-15.50194606073259,95.03648680452392,60.984737896746786,112.90255523846446,63.85431750766058,118.29935511378449,67.07913508530598,76.60678400178682,68.32742582578855
2018-04-15,490.6844813553993,798.3381740479033,329.72777343517254,-256.2376671156879,76.60865764241642,28.50113955118162,95.14902668369712,52.229233038130886,113.72777302839567,59.78501703657848,117.19993000352744,65.94789474507878,75.28550175810506,68.46882424082119
2018-04-16,337.3377973860052,765.2932869124666,324.6340139619234,-269.6760976069738,119.20946877922832,44.314852610755125,120.32142531907357,65.94470060099556,115.85384897159554,64.02694302061586,112.2692585248578,65.73798507080328,75.36793212186342,67.80985821638511
2018-04-17,39.293070205978644,654.015703863552,268.17939829830084,-258.1541990826978,115.19586775442046,41.62541309025212,66.87883298953072,57.151925176229035,121.65778328862706,60.34712290763095,112.50552541324141,63.25841487710091,75.29064193113264,66.7448527136026
2018-04-18,123.88430367175505,617.0928944737228,272.1485922457671,91.92750545579868,92.73497145936673,107.07961676132098,73.29955038471819,52.37763714081753,121.96865314122634,56.43485753438859,91.37150079741284,61.400751156708665,75.5806597375018,66.35069401887918
2018-04-19,244.45963149363865,233.83329127657228,356.62467192904853,44.690035473020856,51.541063791290945,126.83976797901863,91.27984246948003,57.47752235631841,124.69456352867347,58.764983892310994,95.17587421098257,63.12211779043066,77.13243008595478,67.44982406144234
2018-04-20,288.3714376138487,-30.401875969102505,399.10216497653767,-32.40386293180548,23.07488132366094,153.42555196944494,99.43197631005488,54.04421752987264,129.82210141818314,58.63232074046191,98.47525320512706,64.06645003564594,78.94344408442088,68.4577957701358
2018-04-21,332.6339570293423,-168.32870476460664,343.2194931707451,-29.78761743770328,42.120485780769265,162.66938020489056,87.67903716632087,61.49476703012571,137.33815263506713,59.32108208896524,95.80368275660025,62.631905973207566,78.42760855247496,67.46135581553655
2018-04-22,417.3759628082782,-396.29914999463745,233.94674928453517,-44.84883697196152,42.58877180100457,165.81738422211433,73.28895091911346,50.22972031793279,104.6390237158057,53.66384899712406,95.78193733150867,59.62447650954251,78.15318750990133,66.53447575927353
2018-04-23,397.93510880096113,-318.60576068324445,267.3226044161107,-9.034922153551086,69.05569893453014,150.7734504627339,73.70747615269329,41.1029189250933,102.69706859733702,48.589271298654154,93.1078222575071,56.87632703136538,78.09692442246234,65.718207460555
2018-04-24,433.89876529433496,-365.74382634777453,347.51588197455214,247.80550447923036,11.715382920981789,216.45401666839126,82.46795391257183,53.6521119249081,116.28993901625964,54.759358556142956,83.90410652900043,60.35848532359357,79.62553481113362,67.53888600765538
2018-04-25,-0.9643600032554325,435.7196988894142,147.2356272650247,-414.7861619869032,153.3528076783432,165.07878758819373,159.7515393184107,127.36674975568489,177.86691526282547,100.16150822933926,110.3311339740324,83.09540589591536,84.06606173111084,73.46028065393612
2018-04-26,178.098563158509,900.4472549845184,261.64290594259734,-538.8160469390349,196.43820281206405,202.91259871658914,168.64954736717095,116.93544966776442,176.56479348692596,95.9262733701193,109.14305419364605,81.98110850762582,85.52460698511466,73.80641027043336
2018-04-27,77.99823419037993,805.2956814140471,253.7749982790162,-438.54135388734676,150.58347765158985,180.65033676969747,171.5016319389251,98.7897646594935,177.9677386772244,89.33881082736603,111.25381983502214,79.44221192827712,85.35667374613656,72.84665343689534
2018-04-28,121.95940516067412,805.141554379974,266.33649912581404,-452.2599123192901,147.06026144720207,186.37167104947972,175.05946910530383,86.86838095451593,179.08658198960953,83.37283735612719,111.81402320259404,76.91723119590146,86.14384000371747,72.44426410315165
2018-04-29,-54.24929735499426,767.1583091309842,194.49043502198512,-473.3025832361204,157.3782663366147,190.74296590358227,153.21066418535264,71.37716292006554,173.35086521358588,75.649412151671,111.27810523960528,73.26466591688309,86.05345741143294,71.2434522665701
2018-04-30,166.81591943716703,599.5086344276284,84.96401198310096,-375.01360276102747,115.52517068272277,167.5370845805783,83.41236937440092,64.38264832665811,167.76221792885818,71.83968387690841,113.50622288145192,71.5200522632311,86.05589086384158,70.42823067372971
2018-05-01,31.78215798555036,741.2429156831048,107.51968909530538,-329.0260734319703,108.51239788819136,156.0024891170706,60.160443852482125,52.62722275068479,166.3389461672019,65.00940953578687,113.56930273834271,68.08280910738227,86.03484325787329,69.26037298683035
2018-05-02,118.2440938262881,735.7664804830451,100.53288353820919,-539.8261130138699,159.91000255752994,115.76463137059316,54.03552762325442,44.25884258536013,165.96048506892865,59.044995622840766,102.04290158098304,64.81445860752355,86.16293858168581,68.18624415353058
2018-05-03,257.9334669079987,372.82668937408295,194.6151284010037,-408.10527705845476,119.0158236258741,159.87834865891566,105.93349764711067,81.48867214196736,189.6323031507305,76.84758584497942,111.50259167394114,73.54872424917792,89.93466379388948,71.77249844491487
2018-05-04,258.30487052609266,611.4590353986623,104.5355269694424,-392.72509992647093,114.81307861088139,156.45665559759695,105.90640512669229,71.00842900829417,176.85441548736276,70.4537695617979,111.66570068354318,70.19146015551925,89.91313390301312,70.58335892631989
2018-05-05,388.0123549481799,258.5759889167119,284.2326976866588,-379.08709024465924,121.30865072737357,149.3327745088414,90.66014192466099,58.02304282278668,117.45380075558944,63.93310877867322,110.76838344135496,66.99874581129558,89.83009318858527,69.68085302450497
2018-05-06,319.0204773093625,749.6818788580483,179.7125056323472,-389.28612751474685,132.8009583511869,152.75473156078988,104.75708436076128,62.32859221951762,117.91130704883426,64.35131823381953,109.842355054835,66.48872491921402,88.50387809656635,69.04336645165479
2018-05-07,181.77566702847955,559.9623611451691,153.69697242183108,-354.3212835129378,96.7518794343456,141.02754802720875,124.87753363522225,64.49264487382763,125.80730826759701,66.82610591255695,112.87341830472492,67.77310507849754,88.06316621355393,69.03347139590747
2018-05-08,-68.46846287727305,1144.732691476885,97.0609316414625,-296.15970991745104,90.36195097134139,125.77318761913506,61.564615381415265,52.7999986732722,121.21025498458265,60.54774847003318,112.75890380118645,64.6389838885924,87.81209273506181,67.9112593852427
2018-05-09,-85.2624539431974,1175.5849743687538,88.6478125759948,-239.92597246414894,109.6617856958692,97.9951890746845,60.26738287432717,43.20281639973601,121.4887260435278,54.83314925785637,109.70380850506044,61.624010922165816,86.96838268981757,66.80470957932563
2018-05-10,-226.54829426202193,1122.4598588082001,82.71634245589024,-150.1078369208798,120.03984765293798,58.03478751726332,38.94847332474705,39.88935786988947,122.80841597564131,52.76651841440112,107.28881837922151,60.6235744968884,86.64367933088894,66.24885219994744
2018-05-11,-301.66765679433126,775.5219554780057,8.889667695691369,-121.0358293717567,76.9332457624693,40.289706620609635,53.6762980523513,46.752632490945665,136.8326316351726,56.929314543338926,111.54675990219131,63.283785993173915,87.455451134305,66.95876951776837
2018-05-12,-184.92772753303205,872.6582082734493,-1.614767490847782,-98.58200517021577,80.01089550540415,34.23592385418836,57.62111860172422,45.97397336472015,136.07152007474724,52.79013299877554,111.17700303893203,60.31666274640193,87.44052137080743,65.86477496330211
2018-05-13,-51.21128536537633,-63.42014726792726,-61.31067804565896,-111.2527815092388,59.868712600583315,46.13716065523218,91.15289354190146,64.71985981853747,101.4945692240115,60.41028578236139,113.65376291525091,62.125745986912264,85.13483643163488,66.17202635821971
2018-05-14,-57.60448102763822,-9.950159713195541,-73.18923027484709,-105.01063701076883,107.55152862495088,10.849068599660097,91.06140692117992,53.58252051749211,100.80118839684786,54.76677444901097,106.41039467169857,59.202273196082054,85.1318480907769,65.10437714685675
2018-05-15,-50.38704855554781,506.21919263633464,-141.87106751367196,440.7778612436026,60.153829417650364,49.271883908776765,90.18525408498688,49.02113538138681,93.6510484989977,51.9086546271159,87.56061988151784,57.68442586782327,85.30648565395121,64.45089163062903
2018-05-16,77.87404231919305,448.2976515499336,-114.64711822371525,570.6930365525951,143.27481241095748,22.51936993824914,65.04603496020404,40.09519130460521,92.97562837799413,46.955877308961924,82.4340586674571,54.89046135472289,83.45244224138114,63.39698321380296
2018-05-17,-38.746849346908505,448.95267965433317,-114.58613651393009,532.8950454705451,122.24174926166339,13.536404184805265,79.89118068580787,42.93990187642723,92.95818417833705,47.94086802861639,84.69364310337959,55.28308647284293,83.93629560267054,63.3596224874608
2018-05-18,-107.75945080801338,56.304737097101544,-81.43903849502546,577.9086130496767,161.9645930726682,5.4067946862596346,55.90348756807688,47.57183993845581,98.9315149407295,48.1382970364032,82.52038867821071,54.05412391800365,83.91896400550061,62.635250202525526
2018-05-19,-93.73252913122116,35.3358829470561,-77.52836083369954,587.4646257009031,164.79995991150471,3.848483153149372,56.91574557588503,39.01301874202137,99.17854531148771,43.67357255471514,82.47340318435468,51.42881826114064,83.91702840284205,61.598102779565835
2018-05-20,17.936489346204727,-23.758778970219403,-16.624080659426365,502.2501602453319,148.1875932191641,22.874774941441853,58.63390128229532,36.13858608668345,99.65295956686401,41.93000524469493,82.16332263685743,49.81614127636814,84.0379483799847,60.79105996357157
2018-05-21,-21.883707957226093,101.24855496067156,28.683260235268378,537.8872159778607,146.25790147473487,13.004128576481913,62.06262005428119,35.29282165584612,84.00699687382117,39.84536589297086,82.87779622665893,48.24094889621187,83.74321609705305,60.043067424498275
2018-05-22,-74.19232678395126,-0.7015187055859177,-57.8575537480411,476.09765273054717,117.83763551342032,-20.58358916168154,79.91517125781766,54.461740790923464,104.3480996583361,50.71861452739211,88.65092462798198,53.351825336674054,85.27707506368068,61.37601184888525
2018-05-23,-341.64948060908847,-72.99870669034038,-230.22747548810796,-133.5670886423953,-0.46516390870291374,-100.90242741980478,98.7258406510102,65.49275050475939,109.26108131618622,62.55159276924284,78.62986092607478,61.36265553475603,87.76519718201949,64.27166550003798
2018-05-24,-287.49603741234614,-180.23791136826998,-195.299390651887,-139.75990394071957,-13.008401995569221,-92.92489939216641,109.30703172019578,74.40199093836613,116.6169415666265,63.96749134537105,80.3951969012123,60.700333644740965,87.94558613105613,63.6180638491698
2018-05-25,-389.643508538034,-157.1598868927708,-190.42160194702348,-85.17721371385481,7.0115097464624005,-115.00771530580319,94.67155998852542,60.74944699469672,116.36978646665723,57.90939959538453,77.2217089420889,57.933873430647495,86.98059291907786,62.75366080060378
2018-05-26,-342.9389722193339,-161.4279516381785,-186.89482737471596,-144.83406719596138,8.547004281858255,-104.3647766543474,99.92328168718187,52.15251780933294,116.74406649038853,53.44477252119631,77.32396268358337,55.33121108510953,85.14135000214546,61.72063813659287
2018-05-27,-242.1373591035737,39.71824283354443,-162.05237571533425,-186.25941237639404,27.561322935939494,-95.74560675298741,90.65756246227315,42.93337191999449,113.73663891581016,48.4941351835432,75.93722850339084,52.84502724947191,85.30848219257373,60.88174443784497
2018-05-28,-241.80089249459925,-327.9723912095702,-298.89549824631064,-180.9671703365345,-7.578044968042619,-131.63518230330982,90.53468002659267,63.257608586156465,124.29171594373096,59.99808526090202,84.56890126754656,59.75213661395487,82.75618856935202,63.53870375500074
2018-05-29,-122.53462686773655,-107.8462011199554,-210.05440281804565,19.01219954076146,-2.8231550968784065,-99.53345243093933,126.81751384902637,100.52726042432907,156.0213837725599,80.9877911806851,96.23944857813598,69.5651064013145,84.47307820712575,65.85942310132806
2018-05-30,-93.10695317676725,78.14591875414669,-247.3079912783588,-18.289493591845986,0.7917749016033618,-91.34786102490878,126.15767404253207,82.27138060220435,150.84091593892478,73.25797749073628,95.86099101819546,66.17002862588478,84.53529404946501,64.7843755281123
2018-05-31,-32.51612954921635,-146.00393120763707,-192.34170528550953,-128.83547603864258,14.805415423281493,-56.642789882413844,130.6175330235364,70.80307668142919,157.31752472800545,69.38051863721157,94.42332632592665,64.73409201242922,84.0950138376057,64.1587017936343
2018-06-01,25.152563666783212,68.11122811416695,-111.15903174240927,-121.29783033729697,16.00948369508823,-58.497261999768135,128.74088964623036,57.853265486800396,149.61120537945447,62.860102892722914,94.26603033238533,61.69758664285434,84.06815223707731,63.11389925228858
2018-06-02,269.30433161241024,666.868454569357,14.089722995419377,-170.94316194379718,41.43488785444172,-74.80607124393845,70.73310662066676,47.97995408335319,126.2276957943657,57.83434340953466,89.25790169506747,59.3996762582387,82.9414893029726,62.25390626163569
2018-06-03,175.94165662629717,558.5357835798695,27.359860419017128,-197.65311922602987,20.460942320579136,-58.124489212955,38.926537263046676,44.148850497211164,128.75692382231003,56.01697007171643,92.13482226650048,58.92625645975297,80.89698883423517,61.98109641655094
2018-06-04,113.93785775883032,384.3164167596138,10.671453633418903,-180.0990133848602,12.748532653954078,-62.21218757843271,60.16522344435723,53.56937053583108,131.89173771388877,56.345923124371836,92.77736264449578,58.08993479577724,81.50789977097743,61.58636879604384
2018-06-05,104.87911185126457,349.8204641774916,37.070795815423566,-212.7566683829941,5.030675909455344,-51.854648480522336,59.00754860743505,46.71887961257987,133.49459901631514,52.56827600238563,93.98357690091123,56.275655548094164,81.15924920701991,60.87355338528299
2018-06-06,89.6938928602825,510.33630536741697,58.8346334631274,-287.2192320233994,30.383111927148494,-35.72404030072558,60.02768055493709,39.00300352148237,131.32100766274428,47.73320987634129,92.1007435652295,53.543323868007654,80.93933964075181,59.86937782653365
2018-06-07,43.94253337569556,436.1566815404144,160.4730789469825,-252.67042000898283,39.504239049946136,-47.90850853422349,59.50467352605848,32.26454521556414,90.4684624207092,43.29733975927271,90.66388564327546,50.93948081435038,80.71914201520747,58.88094311852715
2018-06-08,-55.62290731827284,51.22177475052743,61.638031580114536,-236.29483861296205,39.17211688448253,-51.36745206493741,44.26348773441254,26.9536530321226,62.623150550828335,39.40807092169587,90.5570228574585,48.502105316304096,80.73098319443129,57.920288662708394
2018-06-09,15.113803670618523,120.08368931162892,66.11181073940998,-198.9345650636628,48.63929096713775,-62.71266465114491,26.026314197214457,22.240597242841726,61.90725951902517,35.783001070139605,89.3108129964864,46.16367200779162,80.50910198107364,56.97097466707223
2018-06-10,-287.18876897018697,1396.6028482125957,-93.39532257011768,-272.74533336394956,14.910182363052115,-98.89463648199238,98.49969985178608,79.2330713201548,118.2597966006367,68.52691448909871,102.00033743438837,62.39396788596083,84.45932407156175,61.9951838582947
2018-06-11,-254.90266007001247,1385.2510310994714,-84.63471627780667,-392.2433155058948,58.59704281888456,-67.76493645650112,102.79459426668562,73.64087646665926,119.14308449536331,64.37569662778263,98.72731689351998,60.084996809968175,80.13911319305032,61.091123085949796
2018-06-12,-387.74966369892275,466.5178438436137,-176.12878190812788,-368.1335438069766,84.03724851991646,-56.08231438297599,105.07586505865783,66.52294740726147,125.54733613974798,63.69996515415366,93.6519811643408,60.95048054272143,81.41868855897314,61.68323455700845
2018-06-13,-452.43517028266,513.7191644513993,-260.27281709460226,-277.6521505824019,77.76979970622745,-80.61203112260344,99.96801600073961,54.31663012285326,114.03953599021838,57.95748793926588,92.91515374599125,58.54481019765265,81.72351248711188,61.05841439667973
2018-06-14,-274.25744297830124,424.38361958091093,-132.7565646692403,-219.16801079800962,46.45676349575351,-42.25410604414759,145.99689836143247,89.29140103264257,142.20255342425338,75.62460400976548,101.01980910940223,66.74738892721155,82.6569955089422,63.17687798371159
2018-06-15,-137.12168822056174,387.2624865236034,-217.3697907475845,-139.69702661326983,20.749113519402776,-62.402145412157815,115.06113168765218,81.43417390191067,141.16415975717368,72.24688381620196,103.16579628954845,65.71583046290039,83.06274590851469,63.0956349232957
2018-06-16,-128.08579786515634,273.98944347748443,-196.2009645279203,-200.37960528457876,22.117470249395105,-47.542992511217754,115.9920877950161,70.02092497859968,143.97984765830978,67.4182491705639,103.47208024487311,63.472159080512746,83.0786683408233,62.26120540394149
2018-06-17,14.210892601744549,258.0792265626374,-191.359989209509,-228.21324812511014,82.43848050901713,-10.690073265575606,100.24037833290203,57.373735096720765,144.40759747353155,61.27451378085874,94.14271149320778,60.5309628024891,82.62703766284844,61.25180884295506
2018-06-18,163.4280402942152,74.14347283876158,-148.05531729308018,-418.26055056078195,113.8185456158008,-29.90934048863384,93.31618066934446,52.94563591619084,150.79727703928205,59.43124447315373,86.60977495319737,59.81407446426116,81.38966497046073,60.88509985946945
2018-06-19,67.70862317000945,-35.4752041234481,-105.81279103546892,-461.47981692859787,105.43018947440197,-13.740655328511586,69.5303460994609,46.230202396219205,156.0661372518287,56.53447268138121,88.18428967139668,58.74452961999852,80.03557950786622,60.48340747849037
2018-06-20,173.3339416574836,-82.74452453451798,18.551157103685238,-429.19972973021794,113.23597789001339,-25.903840997256854,33.49751964431306,40.06550122053366,118.1322506869179,51.33217000365313,86.91855612765418,55.88137080716271,79.98068306851896,59.483013472588944
2018-06-21,106.15432688935825,-85.54000042102625,-11.235262237840486,-390.25201282270257,105.80098992928248,-33.18095224127469,43.550098892656294,37.04989099233257,118.53385585397072,47.53137094158723,87.01009255836625,53.431467469943385,79.81677305890474,58.57197018510016
