,BTC-USD_price,ETH-USD_price,BNB-USD_price,ADA-USD_price,SOL-USD_price
2021-09-24,42839.75,2931.669189453125,355.3162841796875,,139.39564514160156
2021-09-25,42716.59375,2925.565673828125,349.8800964355469,,136.17892456054688
2021-09-26,43208.5390625,3062.265380859375,344.1817626953125,,135.69937133789062
2021-09-27,42235.73046875,2934.138916015625,336.19122314453125,,136.72842407226562
2021-09-28,41034.54296875,2807.296630859375,333.0325927734375,,131.53721618652344
2021-09-29,41564.36328125,2853.143310546875,367.9895935058594,,135.35145568847656
2021-09-30,43790.89453125,3001.678955078125,387.0573425292969,,141.0690460205078
2021-10-01,48116.94140625,3307.51611328125,421.6431884765625,,161.682373046875
2021-10-02,47711.48828125,3391.6943359375,428.0983276367188,,169.093017578125
2021-10-03,48199.953125,3418.358642578125,430.5088195800781,,172.5891571044922
2021-10-04,49112.90234375,3380.089111328125,425.7489013671875,,166.73191833496094
2021-10-05,51514.8125,3518.5185546875,442.7061462402344,,164.11582946777344
2021-10-06,55361.44921875,3580.56201171875,435.4013671875,,154.1077423095703
2021-10-07,53805.984375,3587.974853515625,438.7617492675781,,154.28118896484375
2021-10-08,53967.84765625,3563.75927734375,419.10205078125,,158.94920349121094
2021-10-09,54968.22265625,3575.716796875,421.5494689941406,,156.82583618164062
2021-10-10,54771.578125,3425.852783203125,405.0693054199219,,148.0487060546875
2021-10-11,57484.7890625,3545.35400390625,413.4562072753906,,144.85813903808594
2021-10-12,56041.05859375,3492.5732421875,443.8675231933594,,152.73712158203125
2021-10-13,57401.09765625,3606.20166015625,470.7496948242188,,148.17604064941406
2021-10-14,57321.5234375,3786.01416015625,472.02239990234375,,149.75680541992188
2021-10-15,61593.94921875,3862.634765625,473.70263671875,,162.59620666503906
2021-10-16,60892.1796875,3830.382080078125,465.6424560546875,,157.538818359375
2021-10-17,61553.6171875,3847.1044921875,470.6255493164063,,159.74380493164062
2021-10-18,62026.078125,3748.76025390625,485.1110229492188,,157.2312774658203
2021-10-19,64261.9921875,3877.65087890625,488.14886474609375,,156.01702880859375
2021-10-20,65992.8359375,4155.9921875,501.0203247070313,,175.94686889648438
2021-10-21,62210.171875,4054.32275390625,471.2569274902344,,190.3184356689453
2021-10-22,60692.265625,3970.181884765625,478.6431579589844,,196.43153381347656
2021-10-23,61393.6171875,4171.66357421875,485.9064331054688,,197.703857421875
2021-10-24,60930.8359375,4087.903076171875,476.6331176757813,,202.3619842529297
2021-10-25,63039.82421875,4217.876953125,484.6450805664063,,210.1042938232422
2021-10-26,60363.79296875,4131.10205078125,478.0250549316406,,199.8072509765625
2021-10-27,58482.38671875,3930.25732421875,449.0079956054688,,183.77459716796875
2021-10-28,60622.13671875,4287.31884765625,492.0155334472656,,194.86398315429688
2021-10-29,62227.96484375,4414.74658203125,529.6221313476562,,200.1827545166016
2021-10-30,61888.83203125,4325.650390625,527.9212036132812,,195.4160614013672
2021-10-31,61318.95703125,4288.07421875,524.3644409179688,,202.4210205078125
2021-11-01,61004.40625,4324.626953125,551.2559204101562,,203.5450897216797
2021-11-02,63226.40234375,4584.798828125,554.4476318359375,,220.23959350585932
2021-11-03,62970.046875,4607.19384765625,568.5787963867188,,242.89881896972656
2021-11-04,61452.23046875,4537.32421875,559.7373046875,,247.3877716064453
2021-11-05,61125.67578125,4486.2431640625,608.6480712890625,,236.47433471679688
2021-11-06,61527.48046875,4521.5810546875,636.1139526367188,,258.934326171875
2021-11-07,63326.98828125,4620.5546875,650.4540405273438,,249.823486328125
2021-11-08,67566.828125,4812.08740234375,654.3150024414062,,248.46717834472656
2021-11-09,66971.828125,4735.06884765625,635.1906127929688,,239.213134765625
2021-11-10,64995.23046875,4636.17431640625,615.278076171875,,233.779525756836
2021-11-11,64949.9609375,4730.38427734375,629.892333984375,,234.24075317382807
2021-11-12,64155.94140625,4667.115234375,626.6425170898438,,228.5020904541016
2021-11-13,64469.52734375,4651.46044921875,650.1041259765625,,241.8250274658203
2021-11-14,65466.83984375,4626.35888671875,650.9180908203125,,238.425521850586
2021-11-15,63557.87109375,4557.50390625,633.0486450195312,,237.55360412597656
2021-11-16,60161.24609375,4216.365234375,589.8228759765625,1.877235054969788,219.2390289306641
2021-11-17,60368.01171875,4287.59375,578.0927734375,1.875540018081665,218.7152404785156
2021-11-18,56942.13671875,4000.65087890625,532.2376098632812,1.7883310317993164,195.48741149902344
2021-11-19,58119.578125,4298.306640625,581.5308227539062,1.8647929430007928,215.280014038086
2021-11-20,59697.1953125,4409.93115234375,603.8400268554688,1.8647929430007928,218.0152740478516
2021-11-21,58730.4765625,4269.73291015625,585.2942504882812,1.839763045310974,231.2826232910156
2021-11-22,56289.2890625,4088.457763671875,559.1270141601562,1.7765549421310425,215.73727416992188
2021-11-23,57569.07421875,4340.763671875,591.4395751953125,1.7505029439926147,221.8368988037109
2021-11-24,56280.42578125,4239.9814453125,581.3953247070312,1.6864229440689087,214.92153930664065
2021-11-25,57274.6796875,4274.7431640625,603.730224609375,1.6513450145721436,206.25299072265625
2021-11-26,53569.765625,4030.908935546875,585.1473388671875,1.5284199714660645,191.51174926757807
2021-11-27,54815.078125,4096.912109375,600.3367919921875,1.5461180210113523,193.10215759277344
2021-11-28,57248.45703125,4294.45361328125,611.3668212890625,1.5928549766540527,200.67665100097656
2021-11-29,57806.56640625,4445.10498046875,624.31005859375,1.6025079488754272,204.31936645507807
2021-11-30,57005.42578125,4631.47900390625,622.6698608398438,1.5549030303955078,208.6709899902344
2021-12-01,57229.828125,4586.990234375,627.9715576171875,1.547713041305542,229.7992401123047
2021-12-02,56477.81640625,4511.30224609375,619.4701538085938,1.715366005897522,233.9930419921875
2021-12-03,53598.24609375,4220.7060546875,594.635986328125,1.5565550327301023,211.22439575195312
2021-12-04,49200.703125,4119.58740234375,569.0772705078125,1.420706033706665,201.1248321533203
2021-12-05,49368.84765625,4198.32275390625,557.7830810546875,1.3781050443649292,196.1682586669922
2021-12-06,50582.625,4358.7373046875,589.2561645507812,1.425392985343933,194.19921875
2021-12-07,50700.0859375,4315.0615234375,579.6898803710938,1.3819409608840942,190.596908569336
2021-12-08,50504.796875,4439.35791015625,607.5927734375,1.3970739841461182,194.6217041015625
2021-12-09,47672.12109375,4119.81591796875,571.6489868164062,1.2904399633407593,181.17808532714844
2021-12-10,47243.3046875,3908.49609375,552.9668579101562,1.211688995361328,167.954833984375
2021-12-11,49362.5078125,4084.452392578125,564.322509765625,1.354248046875,171.94949340820312
2021-12-12,50098.3359375,4134.453125,570.823974609375,1.3472820520401,173.43167114257812
2021-12-13,46737.48046875,3784.226806640625,521.0115966796875,1.2253479957580566,155.2130584716797
2021-12-14,46612.6328125,3745.4404296875,511.2293701171875,1.2228349447250366,153.34144592285156
2021-12-15,48896.72265625,4018.388671875,541.0269775390625,1.3118469715118408,178.34078979492188
2021-12-16,47665.42578125,3962.4697265625,526.2465209960938,1.2405339479446411,176.9546661376953
2021-12-17,46202.14453125,3879.486572265625,525.706298828125,1.2198920249938965,175.5032958984375
2021-12-18,46848.77734375,3960.860107421875,533.891357421875,1.242534041404724,182.8351287841797
2021-12-19,46707.015625,3922.592529296875,529.9720458984375,1.2446609735488892,180.09805297851562
2021-12-20,46880.27734375,3933.844482421875,523.1624755859375,1.2382400035858154,173.67178344726562
2021-12-21,48936.61328125,4020.260009765625,528.7109985351562,1.2808589935302734,180.09254455566406
2021-12-22,48628.51171875,3982.099609375,533.6449584960938,1.3280409574508667,178.5971221923828
2021-12-23,50784.5390625,4108.015625,548.725830078125,1.4746910333633425,190.03631591796875
2021-12-24,50822.1953125,4047.98291015625,541.9020385742188,1.3923670053482056,190.273193359375
2021-12-25,50429.859375,4093.281005859375,547.3262329101562,1.4534950256347656,193.1209259033203
2021-12-26,50809.515625,4067.328125,546.9949951171875,1.4560450315475464,198.000732421875
2021-12-27,50640.41796875,4037.547607421875,562.6414794921875,1.5129129886627195,195.42950439453125
2021-12-28,47588.85546875,3800.89306640625,534.9280395507812,1.4022639989852903,177.42562866210938
2021-12-29,46444.7109375,3628.53173828125,514.0007934570312,1.330814003944397,170.65756225585938
2021-12-30,47178.125,3713.85205078125,518.9097290039062,1.360414981842041,172.75119018554688
2021-12-31,46306.4453125,3682.6328125,511.7083129882813,1.310209035873413,170.299072265625
2022-01-01,47686.8125,3769.697021484375,527.3527221679688,1.3769750595092771,178.5179443359375
2022-01-02,47345.21875,3829.56494140625,531.3966674804688,1.3775839805603027,176.38284301757812
2022-01-03,46458.1171875,3761.38037109375,512.135986328125,1.3216370344161987,170.29774475097656
2022-01-04,45897.57421875,3794.056640625,507.506103515625,1.3116580247879028,167.93890380859375
2022-01-05,43569.00390625,3550.386962890625,475.0569458007813,1.236001968383789,155.0997314453125
2022-01-06,43160.9296875,3418.408203125,473.2756042480469,1.2797820568084717,150.4313507080078
2022-01-07,41557.90234375,3193.21044921875,447.7884826660156,1.2115470170974731,136.40281677246094
2022-01-08,41733.94140625,3091.97265625,430.24615478515625,1.1875120401382446,142.51345825195312
2022-01-09,41911.6015625,3157.75146484375,438.8030700683594,1.17385995388031,140.83900451660156
2022-01-10,41821.26171875,3083.097900390625,424.9337768554688,1.128051996231079,135.95494079589844
2022-01-11,42735.85546875,3238.111572265625,463.518310546875,1.1851099729537964,140.18385314941406
2022-01-12,43949.1015625,3372.25830078125,487.0074157714844,1.3045350313186646,151.70310974121094
