,mean_car,median_car,std_car,min_car,max_car,positive_events,negative_events,total_events
fixed_income_Treasury_10Y_Yield_cumret_5d,0.024619706119870854,0.024619706119870854,0.0,0.024619706119870854,0.024619706119870854,2.0,0.0,2.0
fixed_income_Treasury_10Y_Yield_skewness_20d,-0.0054337088125195,0.10982246232085202,0.2154544323251826,-0.3680672403719285,0.15779528893974493,3.0,2.0,5.0
fixed_income_Treasury_10Y_Yield_kurtosis_20d,0.1535516870325054,0.11844272045204185,0.060810513918600616,0.11844272045204185,0.2237696201934325,3.0,0.0,3.0
fixed_income_Treasury_10Y_Yield_cumret_20d,0.009253763526473502,-0.030920704063589155,0.10730664829986661,-0.06907957226255323,0.16793603449562555,1.0,3.0,4.0
fixed_income_Treasury_5Y_Yield_skewness_5d,0.07362279826912321,0.10554654455094115,0.055293550528046694,0.009775305705487347,0.10554654455094115,3.0,0.0,3.0
fixed_income_Treasury_5Y_Yield_kurtosis_5d,-0.04659259941920361,0.05997272951878052,0.18457656404587847,-0.25972325729517187,0.05997272951878052,2.0,1.0,3.0
fixed_income_Treasury_5Y_Yield_skewness_20d,-0.05133761292212016,-0.013912144495532979,0.08940554515694968,-0.19207790547879422,0.02105295824966285,3.0,3.0,6.0
fixed_income_Treasury_5Y_Yield_kurtosis_20d,0.006694866551003736,0.05076614861648804,0.12472184224934975,-0.16966389589276232,0.09491106486380119,3.0,1.0,4.0
fixed_income_Treasury_30Y_Yield_skewness_5d,0.03344497019677639,0.10618714265726958,0.1259931385545118,-0.11203937472421,0.10618714265726958,2.0,1.0,3.0
fixed_income_Treasury_30Y_Yield_kurtosis_5d,0.03744829706479502,0.11247290045644298,0.1299464248920386,-0.1126009097185009,0.11247290045644298,2.0,1.0,3.0
fixed_income_Treasury_30Y_Yield_cumret_5d,0.13814130960264703,0.13814130960264703,0.0,0.13814130960264703,0.13814130960264703,2.0,0.0,2.0
fixed_income_Treasury_30Y_Yield_skewness_20d,0.027006268336624284,0.05338182961324328,0.06589100115862381,-0.06892908235549511,0.07019049647550568,3.0,1.0,4.0
fixed_income_Treasury_30Y_Yield_kurtosis_20d,0.08009486531498966,0.12388357802031746,0.07584427520366457,-0.007482560095665947,0.12388357802031746,2.0,1.0,3.0
fixed_income_Treasury_Bond_ETF_skewness_5d,0.008980240158922478,0.05120345909186408,0.073132760450959,-0.07546619770696072,0.05120345909186408,2.0,1.0,3.0
fixed_income_Treasury_Bond_ETF_kurtosis_5d,0.10308682911186844,0.1641013151167453,0.10568018975814696,-0.018942142897885317,0.1641013151167453,2.0,1.0,3.0
fixed_income_Treasury_Bond_ETF_cumret_5d,0.1166994946364223,0.19139508895456736,0.1293765644605804,-0.03269169399986782,0.19139508895456736,2.0,1.0,3.0
fixed_income_Treasury_Bond_ETF_skewness_20d,0.00830560791178232,0.02749081373153328,0.08507661624874953,-0.09298479275379057,0.12914336953762617,3.0,2.0,5.0
fixed_income_Treasury_Bond_ETF_kurtosis_20d,-0.007076673435322617,-0.0020278883005558357,0.0808259025266296,-0.08680641605901362,0.06255549891883483,2.0,2.0,4.0
fixed_income_Treasury_7_10Y_ETF_skewness_5d,0.02426263492824281,0.12450405272545917,0.16007872037116014,-0.20390058268235467,0.16050083967425088,3.0,2.0,5.0
fixed_income_Treasury_7_10Y_ETF_kurtosis_5d,0.04389567615395884,0.11235639526186558,0.18027619585226756,-0.16420174067943805,0.27285732212712044,3.0,2.0,5.0
fixed_income_Treasury_7_10Y_ETF_cumret_5d,-0.019385634182732314,-0.04737013990664579,0.09359766118935146,-0.12600183308952317,0.09513789196550904,2.0,4.0,6.0
fixed_income_Treasury_7_10Y_ETF_skewness_20d,0.05404881973613616,0.10111439504091368,0.1734539892356128,-0.18100994140117754,0.28377952657958483,3.0,2.0,5.0
fixed_income_Treasury_7_10Y_ETF_kurtosis_20d,-0.008077444520702248,0.02294512500344359,0.14405305692641507,-0.1869072690702308,0.10870724098053464,2.0,2.0,4.0
fixed_income_Treasury_7_10Y_ETF_cumret_20d,-0.030511767775082375,-0.04303751931903821,0.13645540865663972,-0.15897006576019912,0.19770659612660602,1.0,4.0,5.0
fixed_income_Treasury_1_3Y_ETF_skewness_20d,-0.02812138984361407,-0.012873884205706294,0.0567925992955331,-0.08764205048725957,0.05147857365645941,1.0,4.0,5.0
fixed_income_Investment_Grade_Bonds_skewness_5d,0.10842856722845458,0.05011022633524054,0.10101032944016847,0.05011022633524054,0.22506524901488267,3.0,0.0,3.0
fixed_income_Investment_Grade_Bonds_kurtosis_5d,0.09650222632402172,0.06469568732036901,0.05509054156724767,0.06469568732036901,0.16011530433132715,3.0,0.0,3.0
fixed_income_Investment_Grade_Bonds_cumret_5d,0.27921959749921826,0.30547515304775363,0.04547595619101024,0.22670848640214747,0.30547515304775363,3.0,0.0,3.0
fixed_income_Investment_Grade_Bonds_skewness_10d,0.022274628141676134,0.022274628141676134,0.0,0.022274628141676134,0.022274628141676134,2.0,0.0,2.0
fixed_income_Investment_Grade_Bonds_kurtosis_10d,-0.08900191598260185,-0.039005585010000954,0.09888997930985005,-0.21198326286352165,0.019262758488368004,1.0,4.0,5.0
fixed_income_Investment_Grade_Bonds_cumret_10d,0.1003847805257075,0.24280183719506854,0.24667357801574935,-0.18444933281301457,0.24280183719506854,2.0,1.0,3.0
fixed_income_Investment_Grade_Bonds_skewness_20d,0.056795729003259854,0.008044541930821603,0.09928258934193837,-0.0337047518736282,0.19475862723938475,4.0,2.0,6.0
fixed_income_Investment_Grade_Bonds_kurtosis_20d,0.06539734728068174,-0.0034472600865491643,0.15262961827013977,-0.024077839905473075,0.3337434913078312,2.0,3.0,5.0
fixed_income_High_Yield_Bonds_cumret_5d,0.25803741127522445,0.2896900326359756,0.05482394838956088,0.19473216855372222,0.2896900326359756,3.0,0.0,3.0
fixed_income_High_Yield_Bonds_kurtosis_20d,0.07299979660817248,0.037174399658491,0.07339623128030984,0.015379061276598244,0.18180236380072995,5.0,0.0,5.0
stocks_SP500_realized_vol_5d,-0.13990169955111867,-0.14856542617466525,0.07641063930716588,-0.24250874610600628,-0.024946439183508626,0.0,6.0,6.0
stocks_SP500_exp_vol_5d,-0.03767724244579115,-0.04250254797102457,0.03958420299007208,-0.08168099121628317,0.03345264607970043,1.0,6.0,7.0
stocks_SP500_realized_vol_10d,-0.03667565103048674,-0.016987240863113283,0.06234603471846581,-0.17244103075671835,0.01847932661322521,1.0,6.0,7.0
stocks_SP500_exp_vol_10d,-0.015565571114752605,-0.038266645816511645,0.03902654178615816,-0.05608903907774689,0.04823954719266555,3.0,4.0,7.0
stocks_SP500_realized_vol_20d,0.020708896340790064,0.009498489872270047,0.030278346807701667,-0.011312590975024094,0.059076038274736675,5.0,2.0,7.0
stocks_SP500_exp_vol_20d,0.0029638645144558057,-0.01416305093905302,0.03329754385769522,-0.034416046412943185,0.051108313478881444,3.0,4.0,7.0
stocks_SP500_realized_vol_60d,0.012171674066219596,0.003748778629028294,0.013626981008484852,-0.0011951059005856617,0.03415230430495554,6.0,1.0,7.0
