series,VaR_95,CVaR_95,VaR_99,CVaR_99,sharpe_approx,max_drawdown
stocks_SP500_cumret_1d,-0.014613416782539353,-0.022603168118933665,-0.028270925460072118,-0.03647660607460288,0.03787842094121478,-0.2933661511862452
stocks_VIX_cumret_10d,-0.2635267479173245,-0.3623028315757234,-0.4190804987027381,-0.5156761201030803,-0.015874755817764926,-10.885366086220948
crypto_Bitcoin_cumret_1d,-0.04810942865697229,-0.07320414065797401,-0.08865384396602866,-0.11677860771144737,0.03899022564752613,-1.4539123371475973
fixed_income_Treasury_10Y_Yield_cumret_1d,-0.029612565051860766,-0.045179625550820536,-0.05120031899449619,-0.07287978250739353,0.04917898693247409,-0.3969107443860307
