Date,BTC,ETH,BNB,XRP,ADA,SOL,DOGE,MATIC,DOT,AVAX
2023-03-28,27268.130859375,1772.78564453125,313.2606201171875,0.5150579810142517,0.3683539927005768,20.4706974029541,0.0738229975104332,1.0876660346984863,6.064446926116943,16.726268768310547
2023-03-29,28348.44140625,1793.0018310546875,313.8417663574219,0.5435770153999329,0.38158899545669556,21.111467361450195,0.07562699913978577,1.122851014137268,6.180756092071533,17.2939395904541
2023-03-30,28033.5625,1792.7371826171875,316.56756591796875,0.5342490077018738,0.376459002494812,20.55104637145996,0.07424499839544296,1.092411994934082,6.118803977966309,17.245332717895508
2023-03-31,28478.484375,1822.0220947265625,317.0400085449219,0.5384920239448547,0.39892300963401794,21.170495986938477,0.07703500241041183,1.1191619634628296,6.341023921966553,17.716890335083008
2023-04-01,28411.03515625,1813.860595703125,315.2173156738281,0.5147410035133362,0.38538798689842224,20.97564125061035,0.08405099809169769,1.105478048324585,6.40951681137085,17.662683486938477
2023-04-02,28199.30859375,1795.7081298828125,313.9286193847656,0.5189530253410339,0.38175299763679504,20.536975860595703,0.07908900082111359,1.0965059995651245,6.267229080200195,17.263288497924805
2023-04-03,27790.220703125,1810.297119140625,308.5623779296875,0.49696001410484314,0.3871389925479889,20.443050384521484,0.09607899934053421,1.0970200300216675,6.432228088378906,17.101024627685547
2023-04-04,28168.08984375,1871.005126953125,310.9948425292969,0.50347900390625,0.3896830081939697,20.924619674682617,0.09515900164842606,1.1390889883041382,6.441699981689453,17.64712142944336
2023-04-05,28177.984375,1909.114013671875,314.06317138671875,0.5062350034713745,0.3923639953136444,20.966007232666016,0.09281700104475021,1.1405149698257446,6.40403413772583,17.989526748657227
2023-04-06,28044.140625,1872.922607421875,312.45465087890625,0.5032979846000671,0.3832100033760071,20.61012840270996,0.08541200309991837,1.1136380434036255,6.280776023864746,18.001949310302734
2023-04-07,27925.859375,1865.6361083984375,310.6994934082031,0.5137360095977783,0.3836430013179779,20.469940185546875,0.08245600014925003,1.1075780391693115,6.184780120849609,17.624462127685547
2023-04-08,27947.794921875,1849.4981689453125,310.6347351074219,0.5057160258293152,0.38563498854637146,20.036449432373047,0.08140499889850616,1.1024819612503052,6.135956764221191,17.464860916137695
2023-04-09,28333.05078125,1859.3878173828125,312.87225341796875,0.5058339834213257,0.3896929919719696,20.29946517944336,0.08329000324010849,1.1019220352172852,6.216215133666992,17.560928344726562
2023-04-10,29652.98046875,1911.20751953125,318.3790588378906,0.5183179974555969,0.39698898792266846,20.882356643676758,0.08485200256109238,1.1213159561157227,6.290450096130371,17.932527542114258
2023-04-11,30235.05859375,1892.189697265625,322.7582702636719,0.5175179839134216,0.40145599842071533,23.018827438354492,0.0842370018362999,1.1138880252838135,6.42575216293335,18.16439437866211
2023-04-12,30139.052734375,1920.68212890625,318.9537658691406,0.5061150193214417,0.40656301379203796,23.985305786132812,0.08343300223350525,1.1106200218200684,6.4151930809021,18.491119384765625
2023-04-13,30399.06640625,2012.6346435546875,324.9480895996094,0.5132920145988464,0.4257589876651764,24.432308197021484,0.08748400211334229,1.1346789598464966,6.6424479484558105,18.85436248779297
2023-04-14,30485.69921875,2101.635498046875,329.1738586425781,0.5239930152893066,0.4383299946784973,24.772722244262695,0.08878500014543533,1.1620399951934814,6.7340312004089355,19.248788833618164
2023-04-15,30318.49609375,2092.466796875,333.40728759765625,0.5204439759254456,0.4532800018787384,24.079378128051758,0.0889739990234375,1.17289400100708,6.806902885437012,19.107620239257812
2023-04-16,30315.35546875,2120.005859375,348.2209167480469,0.5213919878005981,0.45175498723983765,25.361927032470703,0.09047199785709381,1.1838619709014893,6.833064079284668,20.20197868347168
2023-04-17,29445.044921875,2076.242919921875,339.9941101074219,0.5111269950866699,0.4341669976711273,24.55884552001953,0.09144899994134903,1.1529539823532104,6.695542812347412,20.514562606811523
2023-04-18,30397.552734375,2104.537353515625,343.1934509277344,0.532263994216919,0.4437519907951355,24.852689743041992,0.09398899972438812,1.171897053718567,6.922027111053467,21.227848052978516
2023-04-19,28822.6796875,1936.4034423828125,322.70751953125,0.4915989935398102,0.4157930016517639,22.71283531188965,0.08786799758672714,1.0855530500411987,6.319921016693115,18.993925094604492
2023-04-20,28245.98828125,1943.09765625,317.8899230957031,0.47485798597335815,0.40073099732398987,22.181440353393555,0.08393699675798416,1.0471500158309937,6.11122989654541,18.332067489624023
2023-04-21,27276.91015625,1849.9998779296875,321.67498779296875,0.449396014213562,0.38293901085853577,21.278135299682617,0.07847899943590164,1.0126760005950928,5.851493835449219,16.953628540039062
2023-04-22,27817.5,1874.2286376953125,331.9950866699219,0.47266098856925964,0.3961530029773712,21.816287994384766,0.08037500083446503,1.0253440141677856,5.953291893005371,17.23383903503418
2023-04-23,27591.384765625,1862.06201171875,330.61883544921875,0.4650160074234009,0.3889999985694885,21.480138778686523,0.07881999760866165,1.0036760568618774,5.917685031890869,16.86546516418457
2023-04-24,27525.33984375,1842.7574462890625,331.2458801269531,0.4612730145454407,0.3839159905910492,21.391069412231445,0.07878399640321732,0.9899200201034546,5.891438007354736,16.939165115356445
2023-04-25,28307.59765625,1866.753662109375,338.3255615234375,0.46999499201774597,0.3949190080165863,21.92725372314453,0.07984700053930283,1.0058540105819702,6.001255989074707,17.64320945739746
2023-04-26,28422.701171875,1866.564208984375,330.82177734375,0.46203699707984924,0.4014979898929596,21.28301239013672,0.07862299680709839,0.9861339926719666,5.852431774139404,17.189762115478516
2023-04-27,29473.787109375,1908.786376953125,331.1950988769531,0.46686801314353943,0.40984299778938293,22.34011459350586,0.08019000291824341,1.0125279426574707,5.971175193786621,17.724498748779297
2023-04-28,29340.26171875,1892.5128173828125,324.500244140625,0.48027101159095764,0.4049319922924042,23.366287231445312,0.08036399632692337,0.998852014541626,5.94859504699707,17.56381607055664
2023-04-29,29248.48828125,1908.9169921875,322.1347351074219,0.4784089922904968,0.40278398990631104,23.18299674987793,0.08162999898195267,1.0031019449234009,6.040212154388428,17.48208236694336
2023-04-30,29268.806640625,1876.92431640625,337.6455383300781,0.4723320007324219,0.39735400676727295,22.832014083862305,0.07976900041103363,0.984080970287323,5.901270866394043,17.166259765625
2023-05-01,28091.568359375,1831.954833984375,328.7242126464844,0.4649659991264343,0.3868570029735565,21.98663330078125,0.07881999760866165,0.9601370096206665,5.6679229736328125,16.65838050842285
2023-05-02,28680.537109375,1870.789306640625,321.95269775390625,0.4649510085582733,0.391772985458374,22.264978408813477,0.07880599796772003,0.976993978023529,5.718677997589111,16.854707717895508
2023-05-03,29006.30859375,1904.65185546875,326.212890625,0.4634940028190613,0.3939419984817505,22.218002319335938,0.07971300184726715,1.0065560340881348,5.778507232666016,17.222131729125977
2023-05-04,28847.7109375,1877.7041015625,323.9171447753906,0.4615730047225952,0.3874480128288269,21.730348587036133,0.07844900339841843,0.9825419783592224,5.669313907623291,16.91795539855957
2023-05-05,29534.384765625,1995.0609130859375,326.9403076171875,0.46779999136924744,0.39468398690223694,22.82611083984375,0.08038999885320663,0.9989330172538757,5.853751182556152,17.38660430908203
2023-05-06,28904.623046875,1900.2218017578125,322.7740173339844,0.4595490097999573,0.3801189959049225,21.974262237548828,0.07699800282716751,0.9777910113334656,5.653782844543457,16.63551902770996
2023-05-07,28454.978515625,1873.076416015625,321.6110534667969,0.45036399364471436,0.37690600752830505,21.844228744506836,0.07671000063419342,0.965624988079071,5.641276836395264,16.447729110717773
2023-05-08,27694.2734375,1849.042724609375,313.9712219238281,0.42891499400138855,0.3658280074596405,20.65746307373047,0.07247299700975418,0.900642991065979,5.3758931159973145,15.423477172851562
2023-05-09,27658.775390625,1848.6031494140625,312.5137023925781,0.4298880100250244,0.36380600929260254,20.683645248413086,0.0731389969587326,0.877144992351532,5.328574180603027,15.335582733154297
2023-05-10,27621.755859375,1842.4014892578125,314.57745361328125,0.43087300658226013,0.369937002658844,20.953710556030273,0.07322599738836288,0.8773589730262756,5.470531940460205,15.53670883178711
2023-05-11,27000.7890625,1796.4906005859375,307.6958312988281,0.42187899351119995,0.36003899574279785,20.234880447387695,0.07208500057458878,0.8425009846687317,5.285426139831543,14.973287582397461
2023-05-12,26804.990234375,1808.019775390625,308.6031188964844,0.43071800470352173,0.3704630136489868,20.911794662475586,0.07245899736881256,0.8650850057601929,5.345987796783447,15.192852973937988
2023-05-13,26784.078125,1796.1148681640625,311.0868835449219,0.424903005361557,0.36503100395202637,20.86876106262207,0.07177700102329254,0.8494070172309875,5.351903915405273,14.942066192626953
2023-05-14,26930.638671875,1800.5009765625,312.1358947753906,0.4258599877357483,0.3707610070705414,20.953397750854492,0.07198599725961685,0.8597729802131653,5.354409217834473,15.03024959564209
2023-05-15,27192.693359375,1817.5499267578125,313.5294189453125,0.42756199836730957,0.3674820065498352,21.00718879699707,0.07204599678516388,0.8602520227432251,5.320285797119141,15.093147277832031
2023-05-16,27036.650390625,1824.1214599609375,311.3800354003906,0.4414219856262207,0.3678300082683563,20.679420471191406,0.07272899895906448,0.8460109829902649,5.299292087554932,14.903059005737305
2023-05-17,27398.802734375,1821.859619140625,314.0835266113281,0.4485889971256256,0.3754250109195709,21.06839942932129,0.07491099834442139,0.8876799941062927,5.413900852203369,15.164073944091797
2023-05-18,26832.208984375,1801.728515625,309.4566955566406,0.46029898524284363,0.372078001499176,20.348695755004883,0.07354599982500076,0.8727009892463684,5.341458797454834,14.70057201385498
2023-05-19,26890.12890625,1812.5894775390625,308.96429443359375,0.4679819941520691,0.36821499466896057,20.349870681762695,0.07352700084447861,0.8709350228309631,5.370038986206055,14.67898941040039
2023-05-20,27129.5859375,1820.47802734375,310.719970703125,0.46908101439476013,0.3663569986820221,20.285446166992188,0.07366999983787537,0.877144992351532,5.414481163024902,14.636693954467773
2023-05-21,26753.826171875,1804.5313720703125,306.5067138671875,0.4575499892234802,0.3603630065917969,19.609437942504883,0.07214199751615524,0.8567829728126526,5.273439884185791,14.313434600830078
2023-05-22,26851.27734375,1817.5347900390625,309.2456359863281,0.46160098910331726,0.3679969906806946,19.54204559326172,0.07299800217151642,0.8719720244407654,5.31261682510376,14.680551528930664
2023-05-23,27225.7265625,1854.380615234375,313.5062255859375,0.46542999148368835,0.37048399448394775,20.043182373046875,0.07286400347948074,0.8898800015449524,5.400730133056641,14.711454391479492
2023-05-24,26334.818359375,1800.0999755859375,305.9327697753906,0.45360898971557617,0.36423400044441223,19.223663330078125,0.07073500007390976,0.8740220069885254,5.260034084320068,14.147786140441895
2023-05-25,26476.20703125,1805.9537353515625,304.733642578125,0.45373401045799255,0.35841599106788635,19.260662078857422,0.07087499648332596,0.8900129795074463,5.2444047927856445,14.095544815063477
2023-05-26,26719.291015625,1828.689697265625,306.8863220214844,0.4691399931907654,0.3628840148448944,19.36695671081543,0.07098399847745895,0.9116250276565552,5.24843692779541,14.345760345458984
2023-05-27,26868.353515625,1831.1182861328125,307.5917663574219,0.4722450077533722,0.3667739927768707,20.425233840942383,0.07268299907445908,0.9209719896316528,5.337991237640381,14.549345970153809
2023-05-28,28085.646484375,1910.9141845703125,314.2700500488281,0.48288899660110474,0.3829990029335022,20.7985782623291,0.0736130028963089,0.9418879747390747,5.508674144744873,14.935823440551758
2023-05-29,27745.884765625,1893.078125,311.80718994140625,0.4941509962081909,0.3791379928588867,20.586509704589844,0.07318499684333801,0.9093999862670898,5.460805892944336,14.484777450561523
2023-05-30,27702.349609375,1901.026611328125,311.68450927734375,0.5219380259513855,0.3779340088367462,21.25408363342285,0.07236099988222122,0.9014719724655151,5.4438018798828125,14.4511137008667
2023-05-31,27219.658203125,1874.1304931640625,306.86669921875,0.5173860192298889,0.3744029998779297,20.82450294494629,0.07165999710559845,0.8933200240135193,5.317827224731445,14.119641304016113
2023-06-01,26819.97265625,1862.201416015625,304.9532775878906,0.5073170065879822,0.3647240102291107,20.50221824645996,0.07149200141429901,0.8885629773139954,5.210669994354248,14.10698413848877
2023-06-02,27249.58984375,1907.256591796875,307.4237976074219,0.5253869891166687,0.37830400466918945,21.25759506225586,0.07261200249195099,0.9001780152320862,5.2798848152160645,14.490138053894043
2023-06-03,27075.12890625,1892.4124755859375,306.7201232910156,0.5193510055541992,0.37602800130844116,21.15556526184082,0.07267100363969803,0.8995140194892883,5.330341815948486,14.574328422546387
2023-06-04,27119.06640625,1890.5135498046875,305.15679931640625,0.5359110236167908,0.3776929974555969,21.8189754486084,0.0724710002541542,0.8933560252189636,5.319441795349121,14.782492637634277
2023-06-05,25760.09765625,1811.828369140625,276.8892517089844,0.5103939771652222,0.3520149886608124,20.07505989074707,0.06657300144433975,0.8362269997596741,5.073203086853027,13.897244453430176
