Date,SP500,DJI,NASDAQ,RUSSELL2000,SPY_ETF,QQQ_ETF,IWM_ETF,VTI_ETF,VIX,DXY,GOLD,OIL
2020-09-01,3526.64990234375,28645.66015625,11939.669921875,1578.5799560546875,327.40460205078125,290.89849853515625,147.3109893798828,166.252197265625,26.1200008392334,92.33699798583984,1968.199951171875,42.7599983215332
2020-09-02,3580.840087890625,29100.5,12056.4404296875,1592.2900390625,332.1401672363281,293.65313720703125,148.48223876953125,168.47384643554688,26.56999969482422,92.83399963378906,1934.4000244140625,41.5099983215332
2020-09-03,3455.06005859375,28292.73046875,11458.099609375,1544.6800537109375,320.7097473144531,278.7648010253906,144.09690856933594,162.61761474609375,33.599998474121094,92.73300170898438,1927.5999755859375,41.369998931884766
2020-09-04,3426.9599609375,28133.310546875,11313.1298828125,1535.300048828125,318.09124755859375,275.0499572753906,143.1786346435547,161.2325897216797,30.75,92.71900177001953,1923.9000244140625,39.77000045776367
2020-09-08,3331.840087890625,27500.890625,10847.6904296875,1504.5899658203125,309.4001159667969,261.8300476074219,140.4237823486328,156.70555114746094,31.459999084472656,93.44100189208984,1933.0,36.7599983215332
2020-09-09,3398.9599609375,27940.470703125,11141.5595703125,1526.47998046875,315.5099182128906,269.521484375,142.55079650878906,159.77316284179688,28.809999465942383,93.25800323486328,1944.699951171875,38.04999923706055
2020-09-10,3339.18994140625,27534.580078125,10919.58984375,1507.75,310.031494140625,264.148193359375,140.6955108642578,157.15179443359375,29.709999084472656,93.33100128173828,1954.199951171875,37.29999923706055
2020-09-11,3340.969970703125,27665.640625,10853.5498046875,1497.27001953125,310.1893310546875,262.3150329589844,139.75845336914062,157.2075958251953,26.8700008392334,93.31999969482422,1937.800048828125,37.33000183105469
2020-09-14,3383.5400390625,27993.330078125,11056.650390625,1536.969970703125,314.2749328613281,266.8832702636719,143.4409942626953,159.66162109375,25.850000381469727,92.91200256347656,1953.0999755859375,37.2599983215332
2020-09-15,3401.199951171875,27995.599609375,11190.3203125,1538.1500244140625,315.86279296875,270.666015625,143.71275329589844,160.5725860595703,25.59000015258789,93.08499908447266,1956.300048828125,38.279998779296875
2020-09-16,3385.489990234375,28032.380859375,11050.4697265625,1552.3299560546875,314.6091613769531,266.3498840332031,145.0714569091797,160.04270935058594,26.040000915527344,93.23100280761719,1960.199951171875,40.15999984741211
2020-09-17,3357.010009765625,27901.98046875,10910.2802734375,1542.5999755859375,311.8422546386719,262.1889343261719,144.01260375976562,158.72271728515625,26.459999084472656,92.96900177001953,1940.0,40.970001220703125
2020-09-18,3319.469970703125,27657.419921875,10793.2802734375,1536.780029296875,308.25201416015625,258.8426818847656,143.63778686523438,157.17970275878906,25.829999923706055,92.9520034790039,1952.0999755859375,41.11000061035156
2020-09-21,3281.06005859375,27147.69921875,10778.7998046875,1485.25,304.8212585449219,259.4634094238281,138.60592651367188,155.2833709716797,27.780000686645508,93.68399810791016,1901.199951171875,39.310001373291016
2020-09-22,3315.570068359375,27288.1796875,10963.6396484375,1496.9599609375,307.9256896972656,264.283935546875,139.6741180419922,156.82643127441406,26.860000610351562,94.01799774169922,1898.5999755859375,39.599998474121094
2020-09-23,3236.919921875,26763.130859375,10632.990234375,1451.4599609375,300.7846374511719,256.2142333984375,135.51290893554688,153.0430908203125,28.579999923706055,94.44300079345703,1859.9000244140625,39.93000030517578
2020-09-24,3246.590087890625,26815.439453125,10672.26953125,1451.8199462890625,301.5863342285156,257.40716552734375,135.51290893554688,153.3684844970703,28.510000228881836,94.39399719238281,1868.300048828125,40.310001373291016
2020-09-25,3298.4599609375,27173.9609375,10913.5595703125,1474.9100341796875,306.4620666503906,263.39154052734375,137.7139129638672,155.83631896972656,26.3799991607666,94.68199920654297,1857.699951171875,40.25
2020-09-28,3351.60009765625,27584.060546875,11117.5302734375,1510.3399658203125,311.55218505859375,268.8619384765625,141.10946655273438,158.66445922851562,26.190000534057617,94.302001953125,1872.800048828125,40.599998474121094
2020-09-29,3335.469970703125,27452.66015625,11085.25,1504.72998046875,309.85552978515625,267.6495056152344,140.46987915039062,157.77774047851562,26.270000457763672,93.927001953125,1894.300048828125,39.290000915527344
2020-09-30,3363.0,27781.69921875,11167.509765625,1507.68994140625,312.20489501953125,269.48272705078125,140.89309692382812,158.96310424804688,26.3700008392334,93.927001953125,1887.5,40.220001220703125
2020-10-01,3380.800048828125,27816.900390625,11326.509765625,1531.199951171875,314.20916748046875,273.7599792480469,143.1411590576172,160.2885284423828,26.700000762939453,93.76200103759766,1908.4000244140625,38.720001220703125
2020-10-02,3348.419921875,27682.810546875,11075.01953125,1539.300048828125,311.2259521484375,266.0588684082031,143.77139282226562,159.03781127929688,27.6299991607666,93.90899658203125,1900.199951171875,37.04999923706055
2020-10-05,3408.60009765625,28148.640625,11332.490234375,1581.9599609375,316.744873046875,271.7328796386719,147.7407684326172,161.9032440185547,27.959999084472656,93.54499816894531,1912.5,39.220001220703125
2020-10-06,3360.969970703125,27772.759765625,11154.599609375,1577.2900390625,312.2420654296875,266.8832702636719,147.31748962402344,159.90585327148438,29.479999542236328,93.74400329589844,1901.0999755859375,40.66999816894531
2020-10-07,3419.43994140625,28303.4609375,11364.599609375,1611.0400390625,317.67718505859375,271.50018310546875,150.53431701660156,162.69664001464844,28.059999465942383,93.6780014038086,1883.5999755859375,39.95000076293945
2020-10-08,3446.830078125,28425.509765625,11420.98046875,1628.550048828125,320.49261474609375,272.9453430175781,152.2462615966797,164.12469482421875,26.360000610351562,93.64800262451172,1888.5999755859375,41.189998626708984
2020-10-09,3477.139892578125,28586.900390625,11579.9404296875,1637.550048828125,323.3546142578125,277.11590576171875,153.03631591796875,165.50608825683594,25.0,93.06500244140625,1919.5,40.599998474121094
2020-10-12,3534.219970703125,28837.51953125,11876.259765625,1649.050048828125,328.55657958984375,285.6706848144531,154.0615997314453,167.9608917236328,25.06999969482422,93.10399627685547,1922.5,39.43000030517578
2020-10-13,3511.929931640625,28679.810546875,11863.900390625,1636.8499755859375,326.4124450683594,285.6609191894531,153.03631591796875,167.0741729736328,26.06999969482422,93.53600311279297,1888.5,40.20000076293945
2020-10-14,3488.669921875,28514.0,11768.73046875,1621.6500244140625,324.3614807128906,283.27490234375,151.52200317382812,165.96343994140625,26.399999618530273,93.36599731445312,1901.300048828125,41.040000915527344
2020-10-15,3483.340087890625,28494.19921875,11713.8701171875,1638.8800048828125,323.9606628417969,281.3739013671875,153.08338928222656,166.01942443847656,26.969999313354492,93.86399841308594,1903.199951171875,40.959999084472656
2020-10-16,3483.81005859375,28606.310546875,11671.5595703125,1633.81005859375,323.7648620605469,279.8316955566406,152.70716857910156,165.7207489013672,27.40999984741211,93.67900085449219,1900.800048828125,40.880001068115234
2020-10-19,3426.919921875,28195.419921875,11478.8798828125,1613.6300048828125,318.8424377441406,275.26336669921875,150.88233947753906,163.34996032714844,29.18000030517578,93.42900085449219,1906.4000244140625,40.83000183105469
2020-10-20,3443.1201171875,28308.7890625,11516.490234375,1617.7099609375,320.11968994140625,275.8550109863281,151.21157836914062,163.91934204101562,29.350000381469727,93.0510025024414,1910.4000244140625,41.459999084472656
2020-10-21,3435.56005859375,28210.8203125,11484.6904296875,1603.780029296875,319.5137939453125,275.6416015625,149.91357421875,163.3593292236328,28.649999618530273,92.5989990234375,1924.5999755859375,40.029998779296875
2020-10-22,3453.489990234375,28363.66015625,11506.009765625,1630.25,321.2663879394531,275.6319580078125,152.50022888183594,164.5166778564453,28.110000610351562,92.96399688720703,1901.0999755859375,40.63999938964844
2020-10-23,3465.389892578125,28335.5703125,11548.2802734375,1640.5,322.35711669921875,276.17510986328125,153.3843994140625,165.05804443359375,27.549999237060547,92.76499938964844,1902.0,39.849998474121094
2020-10-26,3400.969970703125,27685.380859375,11358.9404296875,1605.2099609375,316.4000244140625,272.0335693359375,150.0734405517578,162.06195068359375,32.459999084472656,93.04399871826172,1902.699951171875,38.560001373291016
2020-10-27,3390.679931640625,27463.189453125,11431.349609375,1590.7099609375,315.30926513671875,274.15777587890625,148.7847900390625,161.40855407714844,33.349998474121094,92.927001953125,1908.800048828125,39.56999969482422
2020-10-28,3271.030029296875,26519.94921875,11004.8701171875,1543.280029296875,304.5322570800781,263.4691162109375,144.20407104492188,156.0603790283203,40.279998779296875,93.40899658203125,1876.199951171875,37.38999938964844
2020-10-29,3310.110107421875,26659.109375,11185.58984375,1561.5799560546875,307.6274108886719,268.0762939453125,145.9254150390625,157.53504943847656,37.59000015258789,93.97699737548828,1865.5999755859375,36.16999816894531
