,count,mean,std,min,25%,50%,75%,max
Bitcoin,1854.0,49537.055266379284,28637.894134146216,10131.5166015625,26916.4501953125,42432.111328125,64113.14453125,123344.0625
Ethereum,1854.0,2351.5170713422626,1004.7368966368215,321.1163024902344,1645.687255859375,2263.17041015625,3121.5425415039062,4831.3486328125
Binance_Coin,1854.0,402.1321697842085,205.26070676140415,19.47876739501953,264.3355407714844,348.73731994628906,581.0160369873047,1048.67236328125
Ripple,1854.0,0.915612976568095,0.7758223718264989,0.21182799339294434,0.46495475620031357,0.5793339908123016,0.9979285150766373,3.55576491355896
Cardano,1854.0,0.7151568429112563,0.5343817338217542,0.07676299661397934,0.3533400073647499,0.5163264870643616,0.9271335154771805,2.9682390689849854
Solana,1854.0,89.07165816423063,72.84049781821099,1.2056920528411865,22.568774223327637,66.15027618408203,150.9903335571289,261.8697509765625
Polkadot,1854.0,11.335114394191013,10.676950966683544,3.1523730754852295,4.6838696002960205,6.423766851425171,14.130165100097656,53.88173294067383
Avalanche,1833.0,30.326371187729322,23.499968059890772,2.906161069869995,15.671713829040527,23.286901473999023,36.18815612792969,134.53103637695312
Polygon,1666.0,0.8137627104459395,0.5233599526958527,0.012250999920070171,0.4544367492198944,0.7659595012664795,1.0788007080554962,2.8767569065093994
Chainlink,1854.0,15.31041801323011,8.01908934645299,5.1191558837890625,7.69659960269928,13.962829113006592,19.56234073638916,52.19869613647461
