Date,SP500,DJI,NASDAQ,RUSSELL2000,SPY_ETF,QQQ_ETF,IWM_ETF,VTI_ETF,DXY,GOLD,OIL
2023-03-23,3948.719970703125,32105.25,11787.400390625,1720.2900390625,380.504150390625,305.12774658203125,165.113037109375,189.08409118652344,102.20700073242188,1993.800048828125,69.95999908447266
2023-03-24,3970.989990234375,32237.529296875,11823.9599609375,1734.9200439453125,383.00103759765625,306.2507629394531,166.6065673828125,190.27247619628906,102.76399993896484,1982.0999755859375,69.26000213623047
2023-03-27,3977.530029296875,32432.080078125,11768.83984375,1753.6700439453125,383.7171936035156,304.152587890625,168.4589385986328,190.75559997558594,102.51799774169922,1952.4000244140625,72.80999755859375
2023-03-28,3971.27001953125,32394.25,11716.080078125,1752.6300048828125,382.85589599609375,302.5370178222656,168.2164764404297,190.48504638671875,102.10600280761719,1972.4000244140625,73.19999694824219
2023-03-29,4027.81005859375,32717.599609375,11926.240234375,1771.5999755859375,388.4206237792969,308.0534973144531,170.12704467773438,193.22906494140625,102.2979965209961,1966.0999755859375,72.97000122070312
2023-03-30,4050.830078125,32859.03125,12013.4697265625,1768.3800048828125,390.6949462890625,310.9692687988281,169.894287109375,194.27252197265625,101.82099914550781,1980.300048828125,74.37000274658203
2023-03-31,4109.31005859375,33274.1484375,12221.91015625,1802.47998046875,396.20166015625,316.14093017578125,173.0171661376953,197.20013427734375,102.18599700927734,1969.0,75.66999816894531
2023-04-03,4124.509765625,33601.1484375,12189.4501953125,1802.31005859375,397.7113952636719,315.3726501464844,173.09474182128906,197.72189331054688,101.78700256347656,1983.9000244140625,80.41999816894531
2023-04-04,4100.60009765625,33402.37890625,12126.330078125,1769.6500244140625,395.50482177734375,314.3087463378906,170.0591583251953,196.39817810058594,101.26699829101562,2022.199951171875,80.70999908447266
2023-04-05,4090.3798828125,33482.71875,11996.8603515625,1752.1300048828125,394.4693298339844,311.2056884765625,168.3910675048828,195.6831817626953,101.54499816894531,2020.9000244140625,80.61000061035156
2023-04-06,4105.02001953125,33485.2890625,12087.9599609375,1754.4599609375,396.0080871582031,313.303955078125,168.6432342529297,196.33053588867188,101.51899719238281,2011.9000244140625,80.69999694824219
