,mean_car,median_car,std_car,min_car,max_car,positive_events,negative_events,total_events
stocks_NASDAQ_skewness_20d,-0.044580210551575856,-0.05964156097100372,0.07862650345158612,-0.1608845391526008,0.032353875397793684,2.0,3.0,5.0
crypto_Ethereum_skewness_10d,0.06063449856985066,0.09101242319846958,0.09424122090800717,-0.08028642204436072,0.17354583714887922,4.0,1.0,5.0
crypto_Ethereum_kurtosis_10d,0.14353062823806936,0.1861630596871528,0.07384153732000978,0.058265765339902464,0.1861630596871528,3.0,0.0,3.0
crypto_Ethereum_cumret_10d,0.13647453817559824,0.20355400973415577,0.20103607064062232,-0.21668788681317264,0.2904607417103546,4.0,1.0,5.0
crypto_Ethereum_skewness_20d,-0.0020024908077854063,0.0027740668086146877,0.010929167652972008,-0.013661705663134594,0.009634478546107307,3.0,2.0,5.0
crypto_Ethereum_kurtosis_20d,0.044071027971804295,0.026474997332977413,0.049870287040491505,0.004477692547945229,0.15800350122994097,8.0,0.0,8.0
crypto_Ethereum_cumret_20d,0.034383632377059714,0.030966880979966187,0.045607228588715944,-0.003382291815312216,0.11088624867123072,4.0,1.0,5.0
stocks_SP500_realized_vol_5d,-0.09721031363964677,-0.08181192144753774,0.0778121658839564,-0.22703453713551416,-0.0066831223077885235,0.0,10.0,10.0
stocks_NASDAQ_realized_vol_5d,-0.053928706813561586,-0.06588699351442105,0.09111253998612176,-0.2116217110869768,0.08773907899933045,4.0,7.0,11.0
crypto_Ethereum_realized_vol_5d,-0.00819187286563867,0.003395679438846628,0.05216877600516143,-0.08955317310698777,0.04973636377956185,5.0,4.0,9.0
crypto_Ethereum_exp_vol_5d,-0.022416034864740912,-0.027651958814940807,0.06255346879179989,-0.14276451648722094,0.0781426303583015,3.0,7.0,10.0
crypto_Ethereum_realized_vol_10d,-0.02078410705934962,-0.0065723477993353575,0.0598283597911549,-0.169107949149166,0.06012149337346863,3.0,7.0,10.0
crypto_Ethereum_exp_vol_10d,-0.0026811899434511315,-0.014747428199685123,0.08138906053674794,-0.11287640769733852,0.20517090076338945,4.0,6.0,10.0
crypto_Ethereum_realized_vol_20d,0.011305659632563555,0.0058870654527928955,0.06355169574216345,-0.08038080835058702,0.17562144653019834,6.0,5.0,11.0
crypto_Ethereum_exp_vol_20d,-0.01459841368668105,-0.022046451354350204,0.03744076309027597,-0.07364977138120332,0.0722689450881972,3.0,7.0,10.0
crypto_Ethereum_realized_vol_60d,-0.0053986319175753665,-0.003852259764417504,0.029182846549181254,-0.05021505398846596,0.06791203506760846,2.0,9.0,11.0
crypto_Ethereum_exp_vol_60d,0.003381116071998913,-0.00852428533800418,0.033820079833159114,-0.023447795697873697,0.09996035176766137,2.0,9.0,11.0
stocks_VIX_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
crypto_Binance_Coin_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
crypto_Ripple_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
crypto_Chainlink_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
volatility_VIX_Index_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
volatility_VIX_ETN_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
volatility_Ultra_VIX_Short_Term_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
fixed_income_Treasury_10Y_Yield_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
fixed_income_Treasury_7_10Y_ETF_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
fixed_income_Treasury_1_3Y_ETF_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
bear_market,0.050021296380801016,0.07873508372994625,0.1364042299789823,-0.1697679684425697,0.1685343814033281,4.0,2.0,6.0
crypto_Cardano_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
trend_strength,0.027069671790357863,0.031057370427867034,0.0971069480620013,-0.07196969806694875,0.1221213430101553,2.0,1.0,3.0
stocks_SP500_kurtosis_5d,0.15609396094325545,0.15609396094325545,,0.15609396094325545,0.15609396094325545,1.0,0.0,1.0
stocks_NASDAQ_kurtosis_10d,0.05205634263448803,0.07322669178478565,0.0883956261109782,-0.04500223220451488,0.12794456832319331,2.0,1.0,3.0
economic_PCE_Price_Index_skewness_5d,0.10778842031326359,0.11621033575621242,0.07500401862897838,-0.031611605681651556,0.19139706318407035,5.0,1.0,6.0
economic_PCE_Price_Index_cumret_5d,0.10778842031326359,0.11621033575621242,0.07500401862897838,-0.031611605681651556,0.19139706318407035,5.0,1.0,6.0
economic_PCE_Price_Index_skewness_10d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
economic_PCE_Price_Index_cumret_10d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
economic_PCE_Price_Index_realized_vol_5d,0.10778842031326359,0.11621033575621242,0.07500401862897838,-0.031611605681651556,0.19139706318407035,5.0,1.0,6.0
economic_PCE_Price_Index_realized_vol_10d,-1.2467882559204863e-17,-1.3016073504888296e-17,4.882087000374964e-18,-1.791005320472349e-17,-3.3941946795161504e-18,0.0,6.0,6.0
crypto_Polygon_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
economic_Unemployment_Rate_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
economic_Nonfarm_Payrolls_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
economic_Initial_Claims_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
economic_CPI_All_Items_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
economic_CPI_Core_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
economic_PCE_Core_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
