series,VaR_95,CVaR_95,VaR_99,CVaR_99,sharpe_approx,max_drawdown
stocks_SP500_cumret_1d,-0.01459501219099388,-0.022603168118933665,-0.028258207087821553,-0.03647660607460288,0.038468408234814705,-0.2933661511862452
crypto_Bitcoin_cumret_1d,-0.04808163173308667,-0.07320414065797401,-0.08860711580537835,-0.11677860771144737,0.04041988867480405,-1.4539123371475973
fixed_income_Treasury_10Y_Yield_cumret_1d,-0.029571545960921843,-0.045179625550820536,-0.05106913797693614,-0.07287978250739353,0.048662101517480245,-0.3969107443860307
