category,mean,median,std,count
economic,0.07148689547560234,0.0910666917391022,0.03657151955834962,21
stocks,0.02830506252657119,0.0125759730815997,0.09069970901443146,175
crypto,0.026817884861966252,0.00414322422847245,0.10717300060124481,166
fixed,0.016132877219596893,0.0036651969472221,0.06618445092702749,132
