,mean_car,positive_events,negative_events,asymmetry_score,category
fixed_income_High_Yield_Bonds_skewness_5d,0.197092528364652,1.0,0.0,1.0,fixed
fixed_income_High_Yield_Bonds_kurtosis_5d,0.1864820851364146,1.0,0.0,1.0,fixed
fixed_income_Treasury_5Y_Yield_cumret_10d,0.0336047847950983,1.0,0.0,1.0,fixed
fixed_income_Treasury_30Y_Yield_kurtosis_10d,-0.0607402225235838,0.0,1.0,1.0,fixed
fixed_income_Treasury_Bond_ETF_cumret_10d,-0.0588689837103431,0.0,1.0,1.0,fixed
fixed_income_Treasury_7_10Y_ETF_skewness_10d,0.1128886556651046,1.0,0.0,1.0,fixed
economic_Unemployment_Rate_sign_yoy_change,0.0101464604878219,1.0,0.0,1.0,economic
economic_Nonfarm_Payrolls_sign_yoy_change,0.0101464604878219,1.0,0.0,1.0,economic
economic_CPI_All_Items_sign_yoy_change,0.0101464604878219,1.0,0.0,1.0,economic
economic_CPI_Core_sign_yoy_change,0.0101464604878219,1.0,0.0,1.0,economic
economic_Federal_Funds_Rate_sign_yoy_change,0.0101464604878219,1.0,0.0,1.0,economic
stocks_SP500_skewness_10d,0.2224693621909519,1.0,0.0,1.0,stocks
stocks_DJI_cumret_10d,0.0566711950230509,1.0,0.0,1.0,stocks
stocks_RUSSELL2000_cumret_1d,-0.0125242746661343,0.0,1.0,1.0,stocks
stocks_SPY_ETF_skewness_10d,0.2180607133299845,1.0,0.0,1.0,stocks
stocks_IWM_ETF_cumret_1d,-0.0357040316102617,0.0,1.0,1.0,stocks
stocks_VTI_ETF_skewness_10d,0.2167833722520966,1.0,0.0,1.0,stocks
stocks_DXY_cumret_10d,0.0427374130659446,1.0,0.0,1.0,stocks
stocks_GOLD_skewness_5d,0.1894610708799662,1.0,0.0,1.0,stocks
stocks_GOLD_kurtosis_5d,0.1437154725018065,1.0,0.0,1.0,stocks
stocks_GOLD_kurtosis_10d,-0.0003255168854569,0.0,1.0,1.0,stocks
stocks_GOLD_cumret_10d,0.1019411241369273,2.0,0.0,1.0,stocks
stocks_GOLD_skewness_20d,0.1550589035228529,1.0,0.0,1.0,stocks
stocks_GOLD_cumret_20d,0.1603557852422026,1.0,0.0,1.0,stocks
crypto_Avalanche_cumret_20d,-0.2268256225559751,0.0,1.0,1.0,crypto
crypto_Polygon_skewness_5d,-0.3563528669315694,0.0,1.0,1.0,crypto
crypto_Binance_Coin_realized_vol_5d,-0.0238250695559807,0.0,2.0,1.0,crypto
stocks_DJI_kurtosis_5d,0.126813535860669,1.0,0.0,1.0,stocks
stocks_NASDAQ_cumret_1d,0.0414278947459729,1.0,0.0,1.0,stocks
stocks_NASDAQ_kurtosis_20d,-0.0514925347396815,0.0,1.0,1.0,stocks
stocks_SPY_ETF_kurtosis_20d,-0.1362322241620454,0.0,1.0,1.0,stocks
stocks_QQQ_ETF_kurtosis_20d,-0.0397260461712699,0.0,1.0,1.0,stocks
stocks_OIL_skewness_10d,-0.1985800928723181,0.0,3.0,1.0,stocks
crypto_Bitcoin_skewness_10d,-0.0839446575710615,0.0,2.0,1.0,crypto
crypto_Bitcoin_realized_vol_5d,-0.0219715241671224,0.0,4.0,1.0,crypto
crypto_Bitcoin_exp_vol_5d,-0.0585754254501927,0.0,5.0,1.0,crypto
crypto_Bitcoin_exp_vol_10d,-0.0521655819411667,0.0,5.0,1.0,crypto
crypto_Bitcoin_realized_vol_20d,-0.0193478300314394,0.0,5.0,1.0,crypto
crypto_Bitcoin_exp_vol_20d,-0.0373342799292299,0.0,5.0,1.0,crypto
crypto_Bitcoin_exp_vol_60d,-0.0170218461598395,0.0,5.0,1.0,crypto
crypto_Binance_Coin_kurtosis_10d,0.2611466256154607,2.0,0.0,1.0,crypto
crypto_Ripple_cumret_10d,0.1993899707216293,2.0,0.0,1.0,crypto
crypto_Binance_Coin_cumret_1d,-0.0069525615118611,0.0,1.0,1.0,crypto
crypto_Binance_Coin_skewness_10d,0.1697257013915822,2.0,0.0,1.0,crypto
crypto_Solana_skewness_20d,-0.2073409206235417,0.0,1.0,1.0,crypto
crypto_Polkadot_kurtosis_10d,0.0760561580573388,1.0,0.0,1.0,crypto
fixed_income_Treasury_5Y_Yield_kurtosis_10d,-0.0686417350537311,0.0,2.0,1.0,fixed
fixed_income_Treasury_5Y_Yield_cumret_5d,-0.0904844417535598,0.0,2.0,1.0,fixed
fixed_income_Treasury_5Y_Yield_cumret_1d,-0.1008375906049992,0.0,1.0,1.0,fixed
fixed_income_Treasury_10Y_Yield_cumret_10d,-0.0342713222040726,0.0,1.0,1.0,fixed
fixed_income_Treasury_10Y_Yield_kurtosis_10d,-0.0346332341501126,0.0,1.0,1.0,fixed
crypto_Chainlink_cumret_10d,0.1661171745847701,2.0,0.0,1.0,crypto
crypto_Chainlink_kurtosis_10d,0.1438023318896054,2.0,0.0,1.0,crypto
crypto_Avalanche_skewness_5d,-0.1350533675292064,0.0,2.0,1.0,crypto
crypto_Avalanche_cumret_1d,0.1637592739035501,1.0,0.0,1.0,crypto
crypto_Polkadot_cumret_10d,-0.0576977722372226,0.0,1.0,1.0,crypto
crypto_Ripple_skewness_5d,-0.0924242585680077,0.0,1.0,1.0,crypto
crypto_Polkadot_kurtosis_5d,0.094012998325648,1.0,0.0,1.0,crypto
crypto_Binance_Coin_skewness_5d,-0.0531082625271488,0.0,1.0,1.0,crypto
crypto_Binance_Coin_cumret_5d,0.0008258534151325,1.0,0.0,1.0,crypto
crypto_Polygon_kurtosis_10d,-0.0039220889377867,0.0,1.0,1.0,crypto
crypto_Chainlink_kurtosis_20d,0.0358258426842971,1.0,0.0,1.0,crypto
crypto_Bitcoin_cumret_5d,-0.3893854926291683,0.0,1.0,1.0,crypto
crypto_Avalanche_kurtosis_20d,-0.1643634418205528,0.0,2.0,1.0,crypto
stocks_OIL_skewness_5d,-0.0166659044009045,0.0,1.0,1.0,stocks
crypto_Ethereum_kurtosis_10d,0.0582657653399009,1.0,0.0,1.0,crypto
crypto_Ripple_realized_vol_5d,-0.0174360068834344,0.0,3.0,1.0,crypto
stocks_RUSSELL2000_cumret_5d,0.0107968777417815,1.0,0.0,1.0,stocks
stocks_RUSSELL2000_skewness_20d,-0.1939268715917323,0.0,2.0,1.0,stocks
stocks_IWM_ETF_skewness_20d,-0.1844300833284953,0.0,2.0,1.0,stocks
stocks_SPY_ETF_realized_vol_10d,-0.0279466246671425,1.0,6.0,0.7142857142857143,stocks
stocks_SPY_ETF_exp_vol_5d,-0.037604636753885,1.0,6.0,0.7142857142857143,stocks
stocks_SP500_exp_vol_5d,-0.0370344387632367,1.0,6.0,0.7142857142857143,stocks
stocks_SP500_realized_vol_10d,-0.0369572105038578,1.0,6.0,0.7142857142857143,stocks
stocks_SP500_realized_vol_60d,0.0121295880899005,6.0,1.0,0.7142857142857143,stocks
stocks_SPY_ETF_realized_vol_60d,0.0117644927992353,6.0,1.0,0.7142857142857143,stocks
stocks_NASDAQ_realized_vol_5d,-0.0797336154588816,1.0,6.0,0.7142857142857143,stocks
stocks_RUSSELL2000_exp_vol_20d,0.0491672618947889,6.0,1.0,0.7142857142857143,stocks
crypto_Cardano_realized_vol_10d,-0.0192226214196703,1.0,6.0,0.7142857142857143,crypto
crypto_Cardano_exp_vol_5d,-0.0492622753776049,1.0,6.0,0.7142857142857143,crypto
stocks_IWM_ETF_exp_vol_20d,0.0496394048464343,6.0,1.0,0.7142857142857143,stocks
stocks_GOLD_realized_vol_60d,0.0322478383514558,6.0,1.0,0.7142857142857143,stocks
crypto_Ethereum_realized_vol_60d,-0.0160722290426489,1.0,6.0,0.7142857142857143,crypto
crypto_Ripple_realized_vol_20d,0.031393553068796,6.0,1.0,0.7142857142857143,crypto
fixed_income_Treasury_10Y_Yield_realized_vol_20d,0.0057064922798654,1.0,6.0,0.7142857142857143,fixed
fixed_income_Treasury_10Y_Yield_realized_vol_10d,-0.0565780562220388,1.0,6.0,0.7142857142857143,fixed
crypto_Chainlink_realized_vol_10d,0.0684546793569166,6.0,1.0,0.7142857142857143,crypto
fixed_income_Treasury_10Y_Yield_exp_vol_20d,-0.0144932936778729,1.0,6.0,0.7142857142857143,fixed
stocks_VTI_ETF_realized_vol_60d,0.0134900246285198,6.0,1.0,0.7142857142857143,stocks
stocks_OIL_exp_vol_60d,-0.0177079062966351,1.0,6.0,0.7142857142857143,stocks
crypto_Solana_realized_vol_10d,-0.0308309592627923,1.0,6.0,0.7142857142857143,crypto
crypto_Cardano_realized_vol_60d,-0.0238291382032006,1.0,6.0,0.7142857142857143,crypto
crypto_Cardano_exp_vol_20d,-0.030887042660574,1.0,6.0,0.7142857142857143,crypto
crypto_Cardano_exp_vol_10d,-0.0308119414396581,1.0,6.0,0.7142857142857143,crypto
fixed_income_Treasury_7_10Y_ETF_realized_vol_20d,0.0068399973831262,1.0,6.0,0.7142857142857143,fixed
fixed_income_Treasury_7_10Y_ETF_exp_vol_20d,-0.0251083853211449,1.0,6.0,0.7142857142857143,fixed
fixed_income_Treasury_7_10Y_ETF_exp_vol_60d,-0.0199330133003862,1.0,6.0,0.7142857142857143,fixed
crypto_Polkadot_exp_vol_20d,-0.019176649665218,1.0,6.0,0.7142857142857143,crypto
crypto_Solana_exp_vol_20d,-0.0156297067547292,1.0,6.0,0.7142857142857143,crypto
crypto_Solana_exp_vol_60d,-0.0111989936476137,1.0,6.0,0.7142857142857143,crypto
crypto_Polkadot_exp_vol_60d,-0.008502034937459,1.0,6.0,0.7142857142857143,crypto
fixed_income_Treasury_5Y_Yield_exp_vol_10d,-0.0367482745525832,1.0,6.0,0.7142857142857143,fixed
fixed_income_Treasury_10Y_Yield_exp_vol_60d,-0.0138520707958279,1.0,6.0,0.7142857142857143,fixed
fixed_income_Treasury_5Y_Yield_realized_vol_5d,0.0450512629134117,6.0,1.0,0.7142857142857143,fixed
fixed_income_Treasury_Bond_ETF_realized_vol_20d,0.0237223418262833,6.0,1.0,0.7142857142857143,fixed
fixed_income_High_Yield_Bonds_realized_vol_5d,-0.0469433262888371,1.0,6.0,0.7142857142857143,fixed
fixed_income_High_Yield_Bonds_realized_vol_60d,0.0214047429794798,6.0,1.0,0.7142857142857143,fixed
fixed_income_Treasury_7_10Y_ETF_exp_vol_10d,-0.0348691476393428,1.0,6.0,0.7142857142857143,fixed
fixed_income_Investment_Grade_Bonds_realized_vol_60d,0.013065797445111,6.0,1.0,0.7142857142857143,fixed
fixed_income_Treasury_7_10Y_ETF_realized_vol_60d,-0.008442205252312,1.0,6.0,0.7142857142857143,fixed
crypto_Solana_exp_vol_5d,-0.0224272160923963,1.0,5.0,0.6666666666666666,crypto
stocks_DJI_realized_vol_5d,-0.081870681033304,1.0,5.0,0.6666666666666666,stocks
stocks_QQQ_ETF_kurtosis_10d,0.1173769544256655,5.0,1.0,0.6666666666666666,stocks
stocks_VTI_ETF_realized_vol_5d,-0.0924768785494814,1.0,5.0,0.6666666666666666,stocks
stocks_QQQ_ETF_realized_vol_5d,-0.0540537502398943,1.0,5.0,0.6666666666666666,stocks
stocks_IWM_ETF_realized_vol_10d,0.0479143106881137,5.0,1.0,0.6666666666666666,stocks
stocks_OIL_realized_vol_5d,0.0528991154920645,5.0,1.0,0.6666666666666666,stocks
stocks_OIL_skewness_20d,-0.0573260273511716,1.0,5.0,0.6666666666666666,stocks
stocks_RUSSELL2000_realized_vol_10d,0.0509890569931585,5.0,1.0,0.6666666666666666,stocks
fixed_income_Investment_Grade_Bonds_exp_vol_5d,-0.0278058164629484,1.0,5.0,0.6666666666666666,fixed
